"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"EngineTemp"|"F"|0|300|1,"OilTemp"|"F"|0|300|1,"OilPress"|"PSI"|0|150|25,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"RPM"|""|0|10000|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
207083,1616774826748,,,44,,,-0.69,-0.06,0.67,0,-14,-1,0.69,0,,,,,,,,,,,,,,,,
207123,1616774826788,,,44,,,-0.82,-0.04,0.88,0,-15,-1,0.82,0,,,,,,,,,,,,,,,,
207163,1616774826828,,,45,,,-0.7,-0.13,0.69,0,-8,1,0.71,0,,,,,,,,,,,,,,,,
207203,1616774826868,,,44,,,-0.74,-0.13,0.54,-0,-11,1,0.75,0,,,,,,,,,,,,,,,,
207243,1616774826908,,,45,,,-0.65,-0.1,0.42,0,-4,-1,0.66,0,45.846226,5.18006,44.4,763.5,6,2,2.5,0,0.0,-1,0.0,0.0,0.0,0,0.08,3.4541
207283,1616774826948,,,44,,,-0.63,-0.09,0.72,0,-4,-2,0.64,0,,,,,,,,,,,,,,,,
207323,1616774826988,,,44,,,-0.51,-0.03,0.63,0,-4,-0,0.51,0,,,,,,,,,,,,,,,,
207363,1616774827022,,,44,,,-0.61,-0.08,0.49,0,-0,-5,0.61,0,,,,,,,,,,,,,,,,
207403,1616774827062,,,44,,,-0.49,0.02,0.41,1,-9,4,0.49,0,,,,,,,,,,,,,,,,
207443,1616774827106,,,44,,,-0.42,0.05,0.71,0,-5,5,0.42,0,45.846207,5.180096,39.88,762.6,6,2,2.0,0,0.0,-1,0.0,0.0,0.0,0,0.08,3.4574
207483,1616774827146,,,44,,,-0.33,0.02,0.96,0,5,-4,0.33,0,,,,,,,,,,,,,,,,
207523,1616774827186,,,44,,,-0.29,0.08,1.16,0,14,-13,0.3,0,,,,,,,,,,,,,,,,
207563,1616774827228,,,43,,,-0.23,0.06,1.31,0,25,-18,0.24,0,,,,,,,,,,,,,,,,
207603,1616774827268,,,44,,,-0.0,-0.05,1.44,0,18,-10,0.05,0,,,,,,,,,,,,,,,,
207643,1616774827305,,,41,,,-0.21,-0.01,0.79,0,1,-0,0.21,0,45.846188,5.180125,37.14,761.5,6,2,2.0,0,0.0,-1,0.0,0.0,0.0,0,0.09,3.4607
207683,1616774827345,,,44,,,-0.29,-0.03,0.89,-1,16,-10,0.29,0,,,,,,,,,,,,,,,,
207723,1616774827385,,,42,,,-0.28,0.02,0.63,-0,-1,1,0.29,0,,,,,,,,,,,,,,,,
207763,1616774827427,,,44,,,-0.31,0.05,0.53,-0,11,-8,0.32,0,,,,,,,,,,,,,,,,
207803,1616774827467,,,42,,,-0.26,-0.04,0.09,-1,-4,1,0.26,0,,,,,,,,,,,,,,,,
207843,1616774827507,,,44,,,-0.29,-0.03,0.09,-1,7,-8,0.29,0,45.846176,5.180147,34.29,760.9,6,2,2.5,0,0.0,-1,0.0,0.0,0.0,0,0.09,3.4641
207883,1616774827547,,,42,,,-0.19,-0.06,0.05,-1,-7,2,0.2,0,,,,,,,,,,,,,,,,
207923,1616774827587,,,42,,,-0.01,0.01,0.21,-0,3,-1,0.01,0,,,,,,,,,,,,,,,,
207963,1616774827627,,,42,,,-0.15,0.01,-0.18,-0,-1,0,0.15,0,,,,,,,,,,,,,,,,
208003,1616774827667,,,42,,,-0.12,0.01,-0.16,-0,2,-1,0.12,0,,,,,,,,,,,,,,,,
208043,1616774827707,302,147,42,0.33,13.62,-0.04,0.03,-0.08,0,6,-4,0.05,0,45.846165,5.180166,31.76,760.0,6,2,2.5,0,0.0,-1,0.0,0.0,0.0,0,0.09,3.4674
208083,1616774827747,,,42,,,-0.02,0.02,-0.04,0,-1,1,0.03,0,,,,,,,,,,,,,,,,
208123,1616774827787,,,44,,,-0.16,0.1,-0.06,1,-1,1,0.19,0,,,,,,,,,,,,,,,,
208163,1616774827827,,,43,,,0.04,0.04,0.33,1,6,-1,0.06,0,,,,,,,,,,,,,,,,
