"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"EngineTemp"|"F"|0|300|1,"OilTemp"|"F"|0|300|1,"OilPress"|"PSI"|0|150|25,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"RPM"|""|0|10000|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
560083,1616768709055,,,20,,,0.13,-0.03,0.04,-0,6,-3,0.13,0,,,,,,,,,,,,,,,,
560123,1616768709099,,,21,,,0.19,-0.06,0.05,-0,7,-1,0.2,0,,,,,,,,,,,,,,,,
560163,1616768709139,,,21,,,0.08,-0.05,0.06,-0,3,1,0.1,0,,,,,,,,,,,,,,,,
560203,1616768709179,,,20,,,0.05,-0.06,-0.22,-0,5,3,0.08,0,,,,,,,,,,,,,,,,
560243,1616768709221,,,21,,,0.09,-0.06,-0.1,0,5,5,0.11,0,45.845627,5.178792,38.96,723.5,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3374
560283,1616768709261,,,20,,,0.07,-0.34,0.3,1,5,3,0.35,0,,,,,,,,,,,,,,,,
560323,1616768709301,,,21,,,0.11,-0.18,0.22,0,4,2,0.21,0,,,,,,,,,,,,,,,,
560363,1616768709341,,,21,,,0.11,-0.18,0.16,0,5,1,0.21,0,,,,,,,,,,,,,,,,
560403,1616768709381,,,20,,,0.16,-0.1,0.39,1,5,3,0.19,0,,,,,,,,,,,,,,,,
560443,1616768709421,,,19,,,0.07,-0.1,0.29,1,3,1,0.12,0,45.845638,5.1788,26.76,723.6,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3407
560483,1616768709461,,,20,,,0.13,0.01,0.22,0,5,-1,0.13,0,,,,,,,,,,,,,,,,
560523,1616768709501,,,20,,,0.17,0.07,0.4,-0,3,1,0.18,0,,,,,,,,,,,,,,,,
560563,1616768709541,,,21,,,0.09,-0.02,0.16,-1,-3,3,0.09,0,,,,,,,,,,,,,,,,
560603,1616768709581,,,20,,,0.21,-0.04,0.51,-1,-1,2,0.21,0,,,,,,,,,,,,,,,,
560643,1616768709621,,,19,,,0.3,0.12,0.48,-1,2,1,0.32,0,45.845646,5.178805,18.61,723.8,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3441
560683,1616768709661,,,19,,,0.27,0.07,0.4,-1,-0,3,0.28,0,,,,,,,,,,,,,,,,
560723,1616768709701,,,19,,,0.41,0.1,0.3,-2,-2,6,0.43,0,,,,,,,,,,,,,,,,
560763,1616768709741,,,20,,,0.6,0.05,0.47,-2,-1,5,0.6,0,,,,,,,,,,,,,,,,
560803,1616768709781,,,20,,,0.71,0.07,0.7,-2,4,1,0.72,0,,,,,,,,,,,,,,,,
560843,1616768709821,,,20,,,0.58,0.0,0.52,-3,0,3,0.58,0,45.845654,5.17881,13.44,723.8,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3474
560883,1616768709861,,,20,,,0.62,0.02,0.45,-4,1,3,0.62,0,,,,,,,,,,,,,,,,
560923,1616768709900,,,20,,,0.55,-0.0,0.38,-4,3,3,0.55,0,,,,,,,,,,,,,,,,
560963,1616768709940,,,20,,,0.48,-0.04,0.69,-5,4,1,0.48,0,,,,,,,,,,,,,,,,
561003,1616768709980,,,20,,,0.4,0.06,0.73,-5,1,2,0.4,0,,,,,,,,,,,,,,,,
561043,1616768710012,302,155,20,0.17,13.7,0.37,0.22,0.88,-5,4,2,0.43,0,45.845654,5.178813,10.1,723.9,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3507
561083,1616768710052,,,19,,,0.34,0.21,0.85,-6,-2,1,0.4,0,,,,,,,,,,,,,,,,
561123,1616768710100,,,20,,,0.46,0.23,0.87,-6,0,1,0.52,0,,,,,,,,,,,,,,,,
561163,1616768710140,,,20,,,0.52,0.15,0.63,-6,4,1,0.54,0,,,,,,,,,,,,,,,,
561203,1616768710180,,,20,,,0.75,0.08,0.75,-7,2,1,0.75,0,,,,,,,,,,,,,,,,
561243,1616768710220,,,21,,,0.76,0.06,0.46,-8,0,0,0.76,0,45.845654,5.178817,8.34,723.9,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.354
561283,1616768710260,,,20,,,0.87,0.02,0.39,-9,5,-1,0.87,0,,,,,,,,,,,,,,,,
561323,1616768710300,,,20,,,0.88,0.01,0.16,-11,2,-0,0.88,0,,,,,,,,,,,,,,,,
561363,1616768710340,,,20,,,0.87,-0.06,-0.01,-12,4,1,0.87,0,,,,,,,,,,,,,,,,
561403,1616768710380,,,20,,,0.89,-0.06,0.01,-13,-0,5,0.89,0,,,,,,,,,,,,,,,,
561443,1616768710420,,,20,,,0.87,-0.03,0.35,-15,-3,4,0.87,0,45.845654,5.178821,8.05,723.9,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3574
561483,1616768710460,,,21,,,0.84,-0.09,0.34,-17,-4,4,0.84,0,,,,,,,,,,,,,,,,
561523,1616768710502,,,20,,,0.83,-0.01,-0.1,-19,-5,5,0.83,0,,,,,,,,,,,,,,,,
561563,1616768710542,,,20,,,0.85,-0.05,0.26,-22,1,0,0.85,0,,,,,,,,,,,,,,,,
561603,1616768710582,,,20,,,0.91,-0.07,0.22,-25,-3,2,0.91,0,,,,,,,,,,,,,,,,
561643,1616768710620,,,21,,,0.98,-0.08,0.2,-28,-0,-0,0.99,0,45.845646,5.178826,8.52,723.9,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3607
561683,1616768710660,,,21,,,0.94,-0.1,0.19,-32,2,-1,0.94,0,,,,,,,,,,,,,,,,
561723,1616768710700,,,19,,,1.06,-0.12,0.41,-36,2,-1,1.07,0,,,,,,,,,,,,,,,,
561763,1616768710740,,,20,,,1.06,-0.27,-0.01,-41,-6,2,1.09,0,,,,,,,,,,,,,,,,
561803,1616768710780,,,19,,,1.06,-0.31,0.11,-45,-14,3,1.1,0,,,,,,,,,,,,,,,,
561843,1616768710820,,,20,,,1.0,-0.39,0.11,-47,-17,4,1.08,0,45.845638,5.178833,10.28,723.9,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.364
561883,1616768710860,,,19,,,0.99,-0.35,0.2,-48,-20,4,1.05,0,,,,,,,,,,,,,,,,
561923,1616768710899,,,20,,,1.04,-0.29,0.33,-47,-20,4,1.08,0,,,,,,,,,,,,,,,,
561963,1616768710939,,,21,,,1.01,-0.2,0.28,-44,-15,1,1.03,0,,,,,,,,,,,,,,,,
562003,1616768710979,,,22,,,0.98,-0.2,0.21,-40,-15,2,1.0,0,,,,,,,,,,,,,,,,
562043,1616768711015,302,149,22,0.17,13.69,1.04,-0.14,0.55,-36,-9,-3,1.05,0,45.845627,5.17884,11.75,724.0,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3674
562083,1616768711055,,,21,,,0.92,-0.06,0.21,-31,-13,1,0.92,0,,,,,,,,,,,,,,,,
562123,1616768711099,,,22,,,0.83,-0.08,0.51,-27,-7,-3,0.83,0,,,,,,,,,,,,,,,,
562163,1616768711139,,,22,,,0.96,-0.29,0.69,-23,1,-9,1.0,0,,,,,,,,,,,,,,,,
562203,1616768711179,,,22,,,1.05,-0.39,0.94,-21,1,-11,1.12,0,,,,,,,,,,,,,,,,
562243,1616768711219,,,22,,,1.01,-0.39,1.14,-19,2,-13,1.08,0,45.845612,5.178848,13.5,724.0,6,2,3.1,0,0.0,-1,0.0,0.0,0.0,0,2.06,9.3707
562283,1616768711259,,,22,,,0.81,-0.26,0.83,-16,-1,-9,0.85,0,,,,,,,,,,,,,,,,
562323,1616768711299,,,22,,,0.89,-0.21,0.91,-13,1,-9,0.91,0,,,,,,,,,,,,,,,,
562363,1616768711339,,,22,,,0.84,-0.27,0.71,-10,1,-6,0.88,0,,,,,,,,,,,,,,,,
562403,1616768711379,,,22,,,0.77,-0.36,0.69,-8,4,-8,0.85,0,,,,,,,,,,,,,,,,
562443,1616768711419,,,22,,,0.87,-0.58,0.93,-7,1,-6,1.05,0,45.845604,5.178862,15.62,723.9,6,2,2.1,0,0.0,-1,0.0,0.0,0.0,0,2.07,9.3741
562483,1616768711459,,,22,,,0.93,-0.64,0.74,-5,1,-3,1.13,0,,,,,,,,,,,,,,,,
562523,1616768711499,,,23,,,0.83,-0.61,0.83,-5,3,-4,1.03,0,,,,,,,,,,,,,,,,
562563,1616768711539,,,22,,,0.86,-0.5,0.89,-5,3,-2,1.0,0,,,,,,,,,,,,,,,,
562603,1616768711579,,,23,,,0.88,-0.44,0.74,-4,5,-5,0.98,0,,,,,,,,,,,,,,,,
562643,1616768711619,,,22,,,0.86,-0.3,0.9,-3,5,-5,0.91,0,45.845592,5.178878,17.76,723.9,6,2,2.1,0,0.0,-1,0.0,0.0,0.0,0,2.07,9.3774
562683,1616768711659,,,24,,,0.94,-0.31,0.75,-2,8,-7,0.99,0,,,,,,,,,,,,,,,,
562723,1616768711699,,,23,,,0.89,-0.09,0.52,-1,6,-4,0.9,0,,,,,,,,,,,,,,,,
562763,1616768711739,,,23,,,0.79,-0.16,0.29,-0,3,-2,0.81,0,,,,,,,,,,,,,,,,
562803,1616768711779,,,23,,,0.67,-0.02,0.22,1,1,-1,0.67,0,,,,,,,,,,,,,,,,
562843,1616768711819,,,23,,,0.73,-0.12,0.33,2,2,-2,0.74,0,45.845577,5.178897,20.4,723.9,6,2,2.1,0,0.0,-1,0.0,0.0,0.0,0,2.07,9.3807
562883,1616768711859,,,23,,,0.68,-0.07,0.28,2,4,-1,0.68,0,,,,,,,,,,,,,,,,
