"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"EngineTemp"|"F"|0|300|1,"OilTemp"|"F"|0|300|1,"OilPress"|"PSI"|0|150|25,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"RPM"|""|0|10000|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
5803,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5843,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0974
5883,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5923,0,,,6,,,0.08,-0.02,1.0,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
5963,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6003,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6043,0,302,261,6,0.22,13.22,0.09,-0.02,1.01,-0,-0,0,0.1,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.1007
6083,0,,,6,,,0.1,-0.02,1.0,-0,-0,0,0.1,0,,,,,,,,,,,,,,,,
6123,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.1,0,,,,,,,,,,,,,,,,
6163,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.1,0,,,,,,,,,,,,,,,,
6203,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6243,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.104
6283,0,,,6,,,0.09,-0.02,1.0,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6323,0,,,6,,,0.09,-0.02,1.0,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6363,0,,,6,,,0.09,-0.02,1.0,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6403,0,,,7,,,0.09,-0.02,1.0,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6443,0,,,7,,,0.09,-0.02,1.01,-0,-0,-0,0.09,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.1074
6483,0,,,5,,,0.09,-0.02,1.01,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6523,0,,,6,,,0.09,-0.02,1.0,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6563,0,,,7,,,0.09,-0.02,1.0,-0,-0,-0,0.09,0,,,,,,,,,,,,,,,,
6603,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6643,0,,,5,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.1107
6683,0,,,6,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6723,0,,,7,,,0.09,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6763,0,,,6,,,0.08,-0.02,1.0,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6803,0,,,7,,,0.08,-0.02,1.01,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6843,0,,,7,,,0.08,-0.02,1.0,-0,-0,0,0.09,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.114
6883,0,,,7,,,0.08,-0.02,1.01,-0,-0,0,0.09,0,,,,,,,,,,,,,,,,
6923,0,,,6,,,0.08,-0.02,1.0,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
6963,0,,,5,,,0.08,-0.02,1.0,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
7003,0,,,6,,,0.07,-0.02,1.01,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
7043,0,302,264,6,0.21,13.23,0.07,-0.02,1.0,-0,-0,0,0.07,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.1174
7083,0,,,7,,,0.06,-0.02,1.01,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
7123,0,,,7,,,0.06,-0.02,1.0,-0,-0,0,0.06,0,,,,,,,,,,,,,,,,
7163,0,,,7,,,0.06,-0.02,1.01,-0,-0,-0,0.06,0,,,,,,,,,,,,,,,,
7203,0,,,6,,,0.05,-0.02,1.01,-0,-0,-0,0.06,0,,,,,,,,,,,,,,,,
7243,0,,,6,,,0.05,-0.02,1.01,-0,-0,-0,0.05,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.1207
7283,0,,,6,,,0.05,-0.02,1.01,-0,-0,-0,0.05,0,,,,,,,,,,,,,,,,
7323,0,,,6,,,0.04,-0.02,1.01,-0,-0,-0,0.05,0,,,,,,,,,,,,,,,,
7363,0,,,6,,,0.04,-0.02,1.01,-0,-0,-0,0.04,0,,,,,,,,,,,,,,,,
7403,0,,,6,,,0.03,-0.02,1.01,-0,-0,-0,0.04,0,,,,,,,,,,,,,,,,
