"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
28983,1551445884928,1.491,2.401,1.7169,0.13,0.04,0.92,-0,-1,0,1318,0,74,23,92,500,0.0,300,300,60,109.0,0,0,-18,421,22,0,0,0,0,0,0,,,,,,,,,,,
29003,1551445884948,1.487,2.397,1.7056,0.13,0.04,0.94,-0,-1,0,1318,0,74,23,92,500,0.0,300,300,60,109.0,0,0,-18,421,22,0,0,0,0,0,0,,,,,,,,,,,
29023,1551445884968,1.491,2.392,1.7081,0.12,0.04,0.95,-0,-1,-0,1318,0,74,23,92,500,0.0,300,300,60,109.0,0,0,-18,421,22,0,0,0,0,0,0,,,,,,,,,,,
29043,1551445884988,1.499,2.404,1.7232,0.12,0.04,0.94,-0,-1,0,1318,0,74,23,92,500,0.0,300,300,60,109.0,0,0,-18,421,22,0,0,0,0,0,0,45.845886,5.178982,0.0,718.9,0.0,0,0.0,-1,0.0,0.0,0
29063,1551445885002,1.494,2.392,1.7056,0.12,0.04,0.93,-0,-1,0,1318,0,74,23,92,500,0.0,300,300,60,109.0,0,0,-18,421,22,0,0,0,0,0,0,,,,,,,,,,,
29083,1551445885022,1.507,2.392,1.6905,0.12,0.04,0.92,-0,-1,-0,1288,0,74,23,92,510,0.0,300,300,60,114.0,0,0,-13,421,24,0,0,0,0,0,0,,,,,,,,,,,
29103,1551445885042,1.515,2.404,1.7006,0.12,0.03,0.93,-0,-1,-0,1288,0,74,23,92,510,0.0,300,300,60,114.0,0,0,-13,421,24,0,0,0,0,0,0,,,,,,,,,,,
29123,1551445885062,1.517,2.41,1.683,0.12,0.04,0.92,-0,-0,0,1288,0,74,23,92,510,0.0,300,300,60,114.0,0,0,-13,421,24,0,0,0,0,0,0,,,,,,,,,,,
29143,1551445885082,1.494,2.418,1.7019,0.13,0.05,0.91,-0,-0,0,1288,0,74,23,92,510,0.0,300,300,60,114.0,0,0,-13,421,24,0,0,0,0,0,0,45.845886,5.178982,0.0,718.9,0.0,0,0.0,-1,0.0,0.0,0
29163,1551445885110,1.517,2.42,1.7019,0.13,0.06,0.88,-0,-0,0,1288,0,74,23,92,510,0.0,300,300,60,114.0,0,0,-13,421,24,0,0,0,0,0,0,,,,,,,,,,,
29183,1551445885130,1.526,2.408,1.6981,0.13,0.06,0.84,-0,-1,0,1596,0,74,23,92,515,0.0,300,300,60,115.0,0,0,-11,413,22,0,0,0,0,0,0,,,,,,,,,,,
