"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10
117663,1551438814661,1.949,2.451,1.6993,0.05,-0.85,0.27,23,-0,2,11042,38,85,18,53,822,763.0,300,300,60,119.0,249,0,469,456,187,0,0,0,0,0,0,,,,,
117683,1551438814681,1.811,2.392,1.776,0.08,-0.72,0.26,24,-0,2,11029,38,85,18,53,799,757.0,300,300,60,119.0,253,0,470,375,192,0,0,0,0,0,0,,,,,
117703,1551438814701,2.021,2.472,1.8037,0.06,-0.79,0.43,24,0,3,11029,38,85,18,53,799,757.0,300,300,60,119.0,253,0,470,375,192,0,0,0,0,0,0,,,,,
117723,1551438814721,1.858,2.406,1.5862,0.04,-0.73,0.18,25,0,2,11029,38,85,18,53,799,757.0,300,300,60,119.0,253,0,470,375,192,0,0,0,0,0,0,,,,,
117743,1551438814741,1.777,2.45,1.81,-0.03,-0.7,-0.04,25,-2,2,11029,38,85,18,53,799,757.0,300,300,60,119.0,253,0,470,375,192,0,0,0,0,0,0,45.84658,5.179379,45.38,725.0,0.461
117763,1551438814761,1.66,2.378,1.7949,-0.07,-0.83,0.16,26,1,3,11029,38,85,18,53,799,757.0,300,300,60,119.0,253,0,470,375,192,0,0,0,0,0,0,,,,,
117783,1551438814781,1.737,2.338,1.7107,0.08,-0.87,0.24,26,0,3,11094,38,84,18,52,767,752.0,300,300,60,120.0,254,0,466,449,190,0,0,0,0,0,0,,,,,
117803,1551438814801,1.844,2.437,1.727,0.0,-0.87,0.15,25,-2,4,11094,38,84,18,52,767,752.0,300,300,60,120.0,254,0,466,449,190,0,0,0,0,0,0,,,,,
117823,1551438814821,1.785,2.407,1.673,-0.06,-0.83,0.33,25,-1,3,11094,38,84,18,52,767,752.0,300,300,60,120.0,254,0,466,449,190,0,0,0,0,0,0,,,,,
117843,1551438814841,1.591,2.382,1.7798,0.06,-0.76,0.1,26,-3,3,11094,38,84,18,52,767,752.0,300,300,60,120.0,254,0,466,449,190,0,0,0,0,0,0,45.84658,5.179405,45.45,725.1,0.462
