"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
896263,1560693424370,13,2.31,1.86,3.52,1.7,5.06,1.26,-0.09,-0.17,1,2,-5,1.27,8120,7,90,35,18,894,543.0,560,435,60,117.0,76,1,270,141,44,0,0,442,-8186,-21792,543,,,,,,,,,,,,
896283,1560693424390,14,2.31,1.84,3.55,1.68,5.06,1.26,-0.05,-0.06,1,-2,-4,1.26,8152,7,90,35,18,902,542.0,570,433,60,118.0,76,1,270,141,44,0,0,433,-28648,-8165,542,,,,,,,,,,,,
896303,1560693424409,15,2.31,1.85,3.55,1.69,5.05,1.26,-0.07,-0.14,1,-2,-4,1.26,8081,7,90,35,18,909,534.0,578,422,60,117.0,79,1,270,141,43,0,0,410,2524,-6387,535,,,,,,,,,,,,
896323,1560693424429,12,2.31,1.85,3.54,1.68,5.05,1.27,-0.08,-0.1,2,-3,-3,1.27,7995,7,90,35,18,911,530.0,565,427,60,118.0,79,1,269,140,43,0,0,420,-22519,10305,528,,,,,,,,,,,,
896343,1560693424449,12,2.31,1.86,3.56,1.68,5.05,1.22,-0.06,-0.08,3,-4,-3,1.23,7982,7,90,35,18,915,522.0,580,434,60,117.0,79,1,269,140,43,0,0,431,15679,3826,520,45.699009,4.910094,55.65,192.0,8,1.6267,0,0.0,1.06,9,0.76,14.939
896363,1560693424469,15,2.29,1.85,3.56,1.68,5.02,1.19,-0.02,-0.15,4,-2,-3,1.19,7992,7,90,35,18,919,518.0,563,427,60,117.0,79,1,269,140,43,0,0,419,26178,-32702,518,,,,,,,,,,,,
896383,1560693424491,11,2.3,1.82,3.57,1.68,5.07,1.13,-0.12,-0.11,4,-2,-2,1.13,7891,7,90,35,18,922,515.0,551,417,60,117.0,79,1,268,143,43,0,0,402,10994,5600,515,,,,,,,,,,,,
896403,1560693424511,11,2.3,1.82,3.56,1.7,5.05,1.21,-0.14,-0.06,4,-1,-2,1.22,7855,7,90,35,18,923,508.0,552,425,60,118.0,81,1,268,140,42,0,0,410,6274,-899,508,,,,,,,,,,,,
896423,1560693424531,10,2.3,1.87,3.56,1.71,5.05,1.22,-0.01,-0.12,4,-2,-0,1.22,7855,7,90,35,19,924,504.0,543,427,60,118.0,81,1,268,143,42,0,0,400,998,17628,504,,,,,,,,,,,,
896443,1560693424551,12,2.3,1.86,3.55,1.7,5.06,1.13,0.03,-0.19,5,-1,-0,1.13,7914,7,90,35,19,928,496.0,554,438,60,117.0,81,1,269,143,42,0,0,410,248,13552,496,45.698998,4.910084,53.41,192.0,8,1.6267,0,0.0,1.0617,9,0.76,14.9407
896463,1560693424571,6,2.3,1.86,3.56,1.7,5.06,1.08,-0.03,-0.13,5,-4,0,1.08,7938,7,90,35,19,933,489.0,550,452,60,118.0,81,1,269,143,42,0,0,435,-1562,13040,489,,,,,,,,,,,,
896483,1560693424591,6,2.31,1.86,3.55,1.7,5.06,1.17,-0.03,-0.08,5,-0,-1,1.17,7898,7,90,35,19,936,489.0,552,431,60,117.0,81,1,268,143,42,0,0,417,3580,13040,490,,,,,,,,,,,,
896503,1560693424609,8,2.3,1.85,3.53,1.73,5.06,1.15,-0.07,-0.1,5,-2,0,1.16,7874,7,90,35,19,940,487.0,558,424,60,117.0,85,1,268,143,42,0,0,424,10305,243,482,,,,,,,,,,,,
896523,1560693424629,4,2.3,1.85,3.51,1.74,5.04,1.07,-0.11,-0.16,5,-1,2,1.08,7931,7,90,35,19,945,476.0,551,433,60,117.0,85,1,269,143,42,0,0,431,-1923,3571,476,,,,,,,,,,,,
896543,1560693424649,5,2.3,1.85,3.51,1.75,5.04,1.15,-0.18,-0.08,5,-1,2,1.17,7985,7,90,35,19,948,472.0,551,442,60,118.0,85,1,269,143,42,0,0,450,-16384,243,473,45.69899,4.910073,50.33,192.0,8,1.6267,0,0.0,1.0633,9,0.76,14.9424
896563,1560693424669,5,2.29,1.86,3.51,1.74,5.04,1.03,-0.18,-0.03,5,0,1,1.05,8033,7,90,35,19,950,469.0,581,430,60,117.0,85,1,270,143,42,0,0,435,16408,3826,469,,,,,,,,,,,,
896583,1560693424689,-1,2.31,1.86,3.5,1.75,5.06,1.03,-0.19,-0.17,6,2,1,1.05,8088,7,90,35,18,949,465.0,571,436,60,118.0,85,1,270,141,42,0,0,430,-23623,-7939,465,,,,,,,,,,,,
896603,1560693424709,5,2.3,1.87,3.48,1.8,5.04,1.08,-0.18,-0.05,6,0,1,1.09,8088,7,90,35,19,946,465.0,568,427,60,117.0,90,1,270,141,42,0,0,432,17628,5600,462,,,,,,,,,,,,
896623,1560693424729,5,2.29,1.87,3.47,1.83,5.04,0.99,-0.2,-0.14,6,3,1,1.01,8116,7,90,35,18,943,459.0,576,435,60,117.0,90,1,270,141,42,0,0,432,-6387,21580,459,,,,,,,,,,,,
896643,1560693424749,2,2.29,1.88,3.45,1.82,5.04,1.07,-0.25,0.01,6,2,1,1.1,8169,7,90,36,18,940,454.0,566,431,60,118.0,90,1,270,145,42,0,0,433,-3267,5600,456,45.698978,4.910064,47.35,192.0,8,1.6267,0,0.0,1.065,9,0.76,14.944
896663,1560693424769,4,2.29,1.88,3.45,1.81,5.05,0.95,-0.22,-0.01,6,3,1,0.98,8187,7,90,36,18,936,450.0,574,424,60,117.0,90,1,270,141,42,0,0,435,8488,-3314,450,,,,,,,,,,,,
896683,1560693424789,2,2.29,1.89,3.45,1.83,5.07,0.98,-0.21,0.05,5,2,2,1.0,8138,7,90,36,18,934,450.0,567,442,60,117.0,90,1,270,141,42,0,0,430,16648,-3322,447,,,,,,,,,,,,
896703,1560693424809,3,2.29,1.94,3.41,1.84,5.07,0.94,-0.16,0.05,5,3,3,0.95,8134,7,90,36,18,932,446.0,563,435,60,117.0,96,1,270,141,43,0,0,438,2131,243,446,,,,,,,,,,,,
896723,1560693424829,-1,2.29,1.94,3.39,1.85,5.04,0.89,-0.13,0.05,5,4,4,0.9,8081,7,90,36,18,934,443.0,563,425,60,117.0,96,1,270,141,43,0,0,435,26704,243,442,,,,,,,,,,,,
