"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
239663,1560692767761,12,2.3,1.89,3.55,1.69,5.04,1.1,-0.24,-0.27,2,-2,-6,1.12,7653,7,89,34,20,930,554.0,551,458,60,118.0,73,1,266,146,42,0,0,397,2104,-9211,556,,,,,,,,,,,,
239683,1560692767781,9,2.31,1.86,3.55,1.68,5.05,1.19,-0.23,-0.17,1,-1,-5,1.21,7581,7,89,34,20,920,552.0,552,457,60,117.0,73,1,265,146,42,0,0,403,-8962,1779,549,,,,,,,,,,,,
239703,1560692767797,11,2.29,1.88,3.55,1.68,5.05,1.25,-0.19,-0.13,1,-2,-4,1.26,7594,7,89,34,20,919,542.0,552,453,60,118.0,74,1,265,146,41,0,0,399,1780,3635,540,,,,,,,,,,,,
239723,1560692767817,12,2.3,1.9,3.53,1.69,5.04,1.31,-0.16,-0.05,0,-4,-3,1.32,7637,7,89,34,20,918,536.0,550,456,60,117.0,74,1,266,146,41,0,0,418,14504,-32702,536,,,,,,,,,,,,
239743,1560692767837,10,2.3,1.89,3.54,1.68,5.07,1.36,-0.05,-0.05,1,-4,-2,1.36,7646,7,89,34,20,918,530.0,559,456,60,117.0,74,1,266,146,41,0,0,400,6274,-6656,530,45.698998,4.910087,56.8,185.8,1,1.645,0,0.0,1.15,2,0.76,3.9957
239763,1560692767857,12,2.29,1.87,3.54,1.69,5.05,1.28,-0.07,-0.1,2,-2,-2,1.28,7597,7,89,34,20,918,529.0,560,460,60,117.0,74,1,265,146,41,0,0,391,2088,9517,529,,,,,,,,,,,,
239783,1560692767877,10,2.3,1.87,3.52,1.69,5.07,1.23,-0.09,-0.05,2,-2,0,1.24,7500,7,89,34,20,920,520.0,561,457,60,117.0,74,1,265,146,41,0,0,401,-8187,-6656,520,,,,,,,,,,,,
239803,1560692767897,11,2.29,1.87,3.51,1.71,5.04,1.15,-0.14,-0.11,2,-1,2,1.16,7530,7,89,34,20,921,517.0,552,456,60,118.0,79,1,265,146,41,0,0,403,-3414,2211,517,,,,,,,,,,,,
239823,1560692767917,10,2.29,1.85,3.51,1.68,5.06,1.04,-0.2,-0.21,3,2,4,1.06,7621,7,89,34,20,923,509.0,556,453,60,118.0,79,1,266,146,41,0,0,437,-21872,-26615,509,,,,,,,,,,,,
239843,1560692767937,9,2.29,1.85,3.51,1.67,5.04,1.02,-0.31,-0.16,4,4,5,1.06,7703,7,89,34,20,924,505.0,560,456,60,118.0,79,1,267,146,41,0,0,437,15661,11560,505,45.698986,4.910077,53.99,185.9,1,1.645,0,0.0,1.1517,2,0.76,3.9974
239863,1560692767957,8,2.28,1.86,3.51,1.7,5.08,1.04,-0.36,-0.15,5,4,6,1.1,7754,7,89,34,20,925,501.0,563,454,60,118.0,79,1,267,146,41,0,0,419,3,2524,501,,,,,,,,,,,,
239883,1560692767977,4,2.29,1.86,3.5,1.76,5.05,1.14,-0.38,-0.03,5,2,6,1.2,7832,7,89,34,20,925,496.0,566,452,60,118.0,79,1,268,146,41,0,0,413,-1818,-7939,495,,,,,,,,,,,,
239903,1560692767991,3,2.3,1.86,3.5,1.75,5.07,1.13,-0.28,-0.11,4,1,6,1.17,7914,7,89,34,20,924,488.0,569,451,60,118.0,86,1,269,146,43,0,0,420,505,15649,490,,,,,,,,,,,,
239923,1560692768011,5,2.29,1.86,3.5,1.75,5.06,0.98,-0.25,-0.16,5,1,6,1.01,7955,7,89,34,19,922,485.0,565,457,60,118.0,86,1,269,146,43,0,0,453,8488,-7939,485,,,,,,,,,,,,
239943,1560692768031,3,2.3,1.85,3.5,1.74,5.07,1.08,-0.33,-0.09,4,1,6,1.13,8036,7,89,34,19,920,480.0,571,455,60,118.0,86,1,270,144,43,0,0,443,10305,16648,480,45.698978,4.910067,51.34,186.0,1,1.645,0,0.0,1.1533,2,0.76,3.9991
239963,1560692768051,2,2.3,1.87,3.48,1.76,5.04,1.03,-0.26,-0.09,3,1,6,1.06,8123,8,89,34,20,917,478.0,583,450,60,117.0,86,1,270,149,43,0,0,448,3576,26704,474,,,,,,,,,,,,
239983,1560692768071,3,2.3,1.87,3.48,1.76,5.07,1.03,-0.24,-0.14,3,-1,6,1.05,8148,7,89,34,19,919,471.0,581,455,60,118.0,86,1,270,146,43,0,0,442,-16384,243,471,,,,,,,,,,,,
240003,1560692768091,3,2.28,1.87,3.49,1.76,5.04,1.07,-0.22,-0.08,3,-0,6,1.09,8212,8,89,34,19,920,467.0,593,455,60,117.0,95,1,270,147,45,0,0,433,30272,-768,467,,,,,,,,,,,,
240023,1560692768111,4,2.29,1.89,3.48,1.78,5.04,1.01,-0.16,-0.1,3,1,6,1.02,8252,8,89,34,18,924,466.0,590,451,60,118.0,95,1,270,147,45,0,0,439,16408,2131,465,,,,,,,,,,,,
240043,1560692768131,2,2.29,1.9,3.45,1.78,5.07,1.04,-0.19,-0.03,3,1,5,1.06,8216,8,89,34,19,926,461.0,596,448,60,118.0,95,1,270,147,45,0,0,446,17628,20625,460,45.698963,4.910058,48.37,186.1,1,1.645,0,0.0,1.155,2,0.76,4.0007
240063,1560692768151,3,2.29,1.9,3.4,1.78,5.07,1.04,-0.19,-0.01,4,2,4,1.06,8234,8,89,35,18,929,458.0,595,452,60,118.0,95,1,270,142,45,0,0,447,14488,26704,457,,,,,,,,,,,,
240083,1560692768171,3,2.28,1.9,3.41,1.79,5.04,1.02,-0.21,0.09,4,1,4,1.04,8274,8,89,35,18,931,455.0,600,452,60,118.0,95,1,270,142,45,0,0,433,-6387,-28332,455,,,,,,,,,,,,
240103,1560692768191,5,2.28,1.91,3.43,1.79,5.06,1.05,-0.21,0.11,4,1,3,1.07,8227,8,89,35,18,931,452.0,592,453,60,118.0,97,1,270,142,44,0,0,436,-3267,-28332,450,,,,,,,,,,,,
