"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
245563,1560691517362,20,2.21,1.8,3.49,1.64,5.06,1.31,-0.04,-0.35,-4,-3,-1,1.31,5129,4,86,33,37,1037,550.0,371,461,60,119.0,91,1,292,221,50,0,0,239,-32248,-32256,532,,,,,,,,,,,,
245583,1560691517382,14,2.24,1.79,3.48,1.69,5.06,1.04,-0.14,-0.29,-6,4,-2,1.05,5043,4,86,33,37,1046,541.0,373,460,60,118.0,91,1,291,208,50,0,0,54,-8186,23040,530,,,,,,,,,,,,
245603,1560691517397,15,2.25,1.8,3.49,1.69,5.08,1.14,-0.11,-0.2,-8,1,-3,1.15,4966,4,86,33,37,1052,535.0,370,455,60,119.0,91,1,289,188,50,0,0,238,6274,85,521,,,,,,,,,,,,
245623,1560691517417,17,2.27,1.83,3.48,1.67,5.06,1.16,-0.02,-0.21,-6,-4,-3,1.16,4917,4,86,34,38,1054,528.0,364,468,60,120.0,91,1,290,194,50,0,0,244,-28648,80,515,,,,,,,,,,,,
245643,1560691517437,17,2.28,1.86,3.47,1.67,5.06,0.95,-0.05,-0.31,-6,3,-4,0.95,4879,4,86,34,39,1039,521.0,358,460,60,118.0,67,1,293,198,35,0,0,256,-9212,28160,508,45.700802,4.909643,56.23,203.0,2,1.435,0,0.0,0.0367,3,0.06,4.094
245663,1560691517457,14,2.28,1.86,3.48,1.65,5.05,1.04,-0.12,-0.28,-7,2,-6,1.05,4879,4,86,34,39,1007,511.0,360,460,60,117.0,67,1,293,198,35,0,0,273,-3856,-1445,502,,,,,,,,,,,,
245683,1560691517497,16,2.28,1.85,3.52,1.64,5.07,1.14,-0.05,-0.17,-8,-3,-7,1.14,4893,4,86,34,40,975,510.0,357,460,60,120.0,67,1,295,199,35,0,0,255,-4054,-1494,496,,,,,,,,,,,,
245703,1560691517517,17,2.28,1.85,3.55,1.62,5.08,1.19,0.06,-0.24,-6,-3,-6,1.2,4841,4,86,34,40,939,503.0,350,470,60,119.0,67,1,293,199,35,0,0,221,2109,250,493,,,,,,,,,,,,
245723,1560691517537,18,2.27,1.85,3.52,1.6,5.06,1.01,0.03,-0.27,-6,-2,-6,1.01,4783,4,86,34,41,904,501.0,352,468,60,118.0,67,1,292,199,35,0,0,218,11560,115,485,,,,,,,,,,,,
245743,1560691517557,15,2.28,1.88,3.52,1.61,5.04,0.91,-0.01,-0.24,-7,4,-7,0.92,4718,4,86,34,41,869,496.0,345,457,60,117.0,72,1,289,197,35,0,0,228,-6528,125,479,45.70081,4.909652,52.35,202.9,2,1.435,0,0.0,0.0383,3,0.06,4.0957
