"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FB_p"|"bar"|0|300|50,"Volant"|"F"|0.0|300.0|50,"xFR"|"mm"|0.0|5.0|50,"xRR"|"mm"|0.0|5.0|50,"xFL"|"mm"|0.0|5.0|50,"xRL"|"mm"|0.0|5.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
80963,1560695000800,8,2.29,1.89,3.46,1.83,5.07,0.93,-0.16,0.05,3,1,4,0.95,9669,7,77,31,22,774,538.0,651,464,60,120.0,117,1,270,174,64,0,0,512,-32248,15679,537,,,,,,,,,,,,
80983,1560695000820,8,2.28,1.89,3.47,1.82,5.04,1.01,-0.07,0.04,3,-2,4,1.01,9546,7,77,31,22,782,535.0,652,464,60,120.0,117,1,270,171,64,0,0,505,-22519,-3414,533,,,,,,,,,,,,
81003,1560695000840,11,2.29,1.88,3.46,1.83,5.07,1.11,-0.16,0.08,2,0,4,1.12,9464,7,77,31,22,790,529.0,651,459,60,121.0,117,1,270,170,64,0,0,509,6274,10994,529,,,,,,,,,,,,
81023,1560695000860,4,2.29,1.89,3.44,1.83,5.04,0.96,-0.16,0.03,2,-1,5,0.98,9398,7,77,31,21,796,525.0,644,460,60,120.0,117,1,270,170,64,0,0,512,2524,-28648,525,,,,,,,,,,,,
81043,1560695000880,8,2.29,1.89,3.43,1.81,5.03,0.92,-0.06,0.0,3,2,6,0.92,9351,7,77,31,21,807,522.0,648,463,60,120.0,111,1,270,164,58,0,0,505,-8187,-9216,522,45.702103,4.910879,54.15,194.2,0,0.0,0,0.0,0.4717,1,0.32,1.3507
81063,1560695000900,10,2.28,1.89,3.44,1.81,5.04,1.03,0.01,0.04,3,-0,5,1.03,9323,7,77,31,21,822,515.0,644,463,60,120.0,111,1,270,164,58,0,0,495,17136,10408,515,,,,,,,,,,,,
81083,1560695000920,11,2.29,1.88,3.44,1.8,5.05,1.13,-0.11,0.09,2,-2,5,1.13,9286,7,77,31,21,834,512.0,642,462,60,120.0,111,1,270,164,58,0,0,489,-4054,-32768,512,,,,,,,,,,,,
81103,1560695000940,12,2.29,1.87,3.44,1.81,5.03,1.22,-0.28,0.16,2,-0,4,1.25,9186,7,77,31,21,843,509.0,642,465,60,120.0,111,1,270,164,58,0,0,490,6274,248,509,,,,,,,,,,,,
81123,1560695000960,13,2.29,1.89,3.46,1.82,5.04,1.2,-0.29,0.17,2,-1,3,1.24,9097,7,77,31,21,856,504.0,640,462,60,120.0,111,1,270,164,58,0,0,481,15661,998,504,,,,,,,,,,,,
81143,1560695000980,10,2.29,1.9,3.45,1.82,5.06,1.07,-0.24,0.1,2,-1,3,1.1,9057,7,77,31,21,873,500.0,641,463,60,120.0,111,1,270,164,58,0,0,490,3,505,500,45.702095,4.910893,51.89,194.2,0,0.0,0,0.0,0.4733,1,0.32,1.3524
81163,1560695000994,9,2.29,1.91,3.43,1.82,5.06,1.03,-0.18,0.07,2,-2,3,1.05,8928,7,77,32,21,888,496.0,639,460,60,120.0,112,1,270,164,56,0,0,482,-32768,8488,496,,,,,,,,,,,,
81183,1560695001014,12,2.29,1.9,3.45,1.81,5.08,1.01,-0.15,0.07,2,-2,2,1.02,8848,7,77,32,21,896,490.0,640,460,60,120.0,112,1,270,164,56,0,0,474,-1562,3576,490,,,,,,,,,,,,
81203,1560695001034,10,2.28,1.89,3.46,1.82,5.04,1.07,-0.17,0.12,2,-2,2,1.08,8806,7,77,32,21,911,488.0,642,461,60,120.0,112,1,270,164,56,0,0,468,-6441,-23623,488,,,,,,,,,,,,
81223,1560695001054,8,2.29,1.9,3.45,1.81,5.06,1.17,-0.23,0.16,2,-3,2,1.19,8708,7,77,32,21,934,484.0,641,462,60,120.0,112,1,270,164,56,0,0,471,32033,30272,484,,,,,,,,,,,,
81243,1560695001074,9,2.29,1.89,3.45,1.81,5.04,1.22,-0.25,0.19,2,-2,2,1.24,8628,7,77,32,21,955,479.0,633,461,60,121.0,110,1,270,164,53,0,0,466,-17956,30272,479,45.702087,4.910907,50.01,194.2,0,0.0,0,0.0,0.475,1,0.32,1.3541
81263,1560695001100,13,2.28,1.89,3.46,1.8,5.07,1.16,-0.2,0.11,2,-2,2,1.17,8549,7,77,32,21,970,475.0,633,463,60,120.0,110,1,270,164,53,0,0,454,32033,2211,475,,,,,,,,,,,,
81283,1560695001120,11,2.27,1.89,3.45,1.8,5.07,1.14,-0.19,0.12,2,-1,3,1.15,8457,7,77,32,21,990,471.0,635,458,60,120.0,110,1,270,162,53,0,0,456,16408,3571,471,,,,,,,,,,,,
81303,1560695001140,15,2.26,1.91,3.46,1.81,5.05,1.11,-0.14,0.06,2,-1,3,1.11,8378,7,77,32,21,1028,468.0,630,465,60,121.0,110,1,270,160,53,0,0,452,12552,16648,468,,,,,,,,,,,,
81323,1560695001160,12,2.26,1.91,3.46,1.81,5.04,1.12,-0.1,0.07,1,0,3,1.13,8337,7,77,32,21,1065,459.0,632,461,60,120.0,110,1,270,159,53,0,0,441,17628,20625,459,,,,,,,,,,,,
81343,1560695001180,15,2.25,1.91,3.45,1.81,5.05,1.14,-0.05,0.04,1,0,4,1.14,8245,7,77,32,21,1089,456.0,632,463,60,121.0,105,1,270,156,48,0,0,441,2524,-28332,453,45.702076,4.91092,47.85,194.2,0,0.0,0,0.0,0.4767,1,0.32,1.3557
