																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	3850	17,18	17,73	18,3	33,39	23,29	42,5	50,6	4,560	927,9	1885		41,15	0,5571	0,5571	0	32,35	1,032	8,605	0	25,22
	3900	17,26	17,83	18,4	33,15	23,46	42,25	51,26	4,661	921,2	1871		40,92	0,5684	0,5684	0	32,12	1,032	8,605	0	25,22
	3950	17,36	17,94	18,51	32,92	23,63	42,02	51,92	4,761	914,8	1857		40,7	0,5797	0,5797	0	31,89	1,032	8,605	0	25,22
	4000	17,49	18,08	18,66	32,77	23,85	41,88	52,57	4,858	910,7	1847		40,56	0,5912	0,5912	0	31,75	1,032	8,605	0	25,22
	4050	17,62	18,22	18,81	32,62	24,06	41,72	53,23	4,956	906,5	1837		40,41	0,6028	0,6028	0	31,6	1,032	8,605	0	25,22
	4100	17,7	18,31	18,9	32,38	24,22	41,49	53,89	5,058	899,9	1823		40,18	0,6146	0,6146	0	31,37	1,032	8,605	0	25,22
	4150	17,74	18,37	18,96	32,09	24,34	41,19	54,54	5,16	891,8	1807		39,89	0,6264	0,6264	0	31,09	1,032	8,605	0	25,22
	4200	17,53	18,17	18,75	31,36	24,19	40,47	55,2	5,261	871,6	1766		39,19	0,6385	0,6385	0	30,39	1,032	8,605	0	25,22
	4250	17,26	17,91	18,49	30,56	24	39,66	55,86	5,366	849,2	1719		38,41	0,6506	0,6506	0	29,61	1,032	8,605	0	25,22
	4300	16,7	17,36	17,92	29,28	23,49	38,38	56,52	5,485	813,7	1638		37,17	0,6629	0,6629	0	28,37	1,032	8,605	0	25,22
	4350	16,15	16,83	17,37	28,05	23,01	37,16	57,17	5,607	779,6	1563		35,98	0,6753	0,6753	0	27,18	1,032	8,605	0	25,22
	4400	15,62	16,31	16,83	26,87	22,54	35,98	57,83	5,731	746,9	1493		34,84	0,6879	0,6879	0	26,04	1,032	8,605	0	25,22
	4450	15,27	15,97	16,48	26,02	22,25	35,12	58,49	5,86	723	1445		34,01	0,7006	0,7006	0	25,21	1,032	8,605	0	25,22
	4500	15,03	15,74	16,25	25,36	22,08	34,46	59,14	5,99	704,8	1407		33,38	0,7135	0,7135	0	24,57	1,032	8,605	0	25,22
	4550	14,98	15,7	16,21	25,02	22,11	34,12	59,8	6,121	695,4	1384		33,05	0,7264	0,7264	0	24,24	1,032	8,605	0	25,22
	4600	15,02	15,75	16,26	24,83	22,22	33,93	60,46	6,254	690	1370		32,86	0,7396	0,7396	0	24,06	1,032	8,605	0	25,22
	4650	15,1	15,85	16,36	24,71	22,39	33,82	61,12	6,388	686,8	1360		32,75	0,7529	0,7529	0	23,95	1,032	8,605	0	25,22
	4700	15,25	16,01	16,53	24,7	22,62	33,8	61,77	6,523	686,4	1359		32,73	0,7663	0,7663	0	23,93	1,032	8,605	0	25,22
	4750	15,47	16,25	16,77	24,8	22,93	33,9	62,43	6,656	689,1	1367		32,83	0,7799	0,7799	0	24,02	1,032	8,605	0	25,22
	4800	15,76	16,55	17,08	25	23,3	34,1	63,09	6,788	694,7	1381		33,02	0,7936	0,7936	0	24,22	1,032	8,605	0	25,22
	4850	16,16	16,97	17,52	25,37	23,8	34,47	63,74	6,917	704,9	1405		33,38	0,8075	0,8075	0	24,58	1,032	8,605	0	25,22
	4900	16,84	17,67	18,23	26,13	24,58	35,23	64,4	7,043	726,2	1450		34,12	0,8215	0,8215	0	25,32	1,032	8,605	0	25,22
	4950	17,63	18,47	19,06	27,04	25,48	36,15	65,06	7,165	751,6	1504		35,01	0,8357	0,8357	0	26,2	1,032	8,605	0	25,22
	5000	18,56	19,41	20,03	28,13	26,51	37,24	65,72	7,276	781,8	1567		36,06	0,8501	0,8501	0	27,26	1,032	8,605	0	25,22
	5050	19,43	20,29	20,94	29,12	27,49	38,23	66,37	7,385	809,3	1624		37,02	0,8645	0,8645	0	28,22	1,032	8,605	0	25,22
	5100	20,18	21,06	21,74	29,93	28,35	39,03	67,03	7,491	831,7	1671		37,8	0,8792	0,8792	0	28,99	1,032	8,605	0	25,22
	5150	20,81	21,71	22,41	30,56	29,08	39,66	67,69	7,597	849,1	1706		38,41	0,894	0,894	0	29,6	1,032	8,605	0	25,22
	5200	21,31	22,22	22,94	30,98	29,68	40,08	68,34	7,703	860,8	1729		38,81	0,9089	0,9089	0	30,01	1,032	8,605	0	25,22
	5250	21,86	22,78	23,52	31,46	30,32	40,56	69	7,807	874,1	1756		39,28	0,9241	0,9241	0	30,47	1,032	8,605	0	25,22
	5300	22,44	23,38	24,14	31,98	31	41,08	69,66	7,912	888,6	1786		39,78	0,9393	0,9393	0	30,98	1,032	8,605	0	25,22
	5350	23,17	24,12	24,9	32,69	31,83	41,78	70,32	8,01	908,2	1828		40,47	0,9548	0,9548	0	31,66	1,032	8,605	0	25,22
	5400	23,97	24,94	25,75	33,48	32,74	42,58	70,97	8,106	930,4	1876		41,24	0,9703	0,9703	0	32,44	1,032	8,605	0	25,22
	5450	24,73	25,72	26,55	34,21	33,61	43,31	71,63	8,198	950,5	1918		41,94	0,9861	0,9861	0	33,14	1,032	8,605	0	25,22
	5500	25,45	26,46	27,31	34,87	34,44	43,97	72,29	8,288	968,9	1958		42,58	1,002	1,002	0	33,78	1,032	8,605	0	25,22
	5550	26,14	27,16	28,04	35,48	35,23	44,58	72,94	8,379	985,9	1994		43,18	1,018	1,018	0	34,37	1,032	8,605	0	25,22
	5600	26,77	27,81	28,71	36	35,96	45,1	73,6	8,469	1000	2026		43,67	1,034	1,034	0	34,87	1,032	8,605	0	25,22
	5650	27,4	28,45	29,37	36,5	36,69	45,6	74,26	8,559	1014	2057		44,16	1,051	1,051	0	35,36	1,032	8,605	0	25,22
	5700	27,98	29,05	29,99	36,95	37,37	46,05	74,92	8,644	1027	2082		44,59	1,067	1,067	0	35,79	1,032	8,605	0	25,22
