																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	3850	17,8	18,36	18,94	34,56	23,53	42,94	50,6	4,671	960,6	1956		41,6	0,5571	0,5571	0	33,49	1,032	8,605	0	24,66
	3900	17,94	18,51	19,1	34,4	23,75	42,78	51,26	4,766	956,2	1946		41,45	0,5684	0,5684	0	33,34	1,032	8,605	0	24,66
	3950	18,16	18,74	19,34	34,38	24,05	42,76	51,92	4,858	955,7	1945		41,43	0,5797	0,5797	0	33,32	1,032	8,605	0	24,66
	4000	18,4	18,99	19,59	34,4	24,37	42,78	52,57	4,951	956,3	1946		41,45	0,5912	0,5912	0	33,34	1,032	8,605	0	24,66
	4050	18,67	19,28	19,89	34,49	24,72	42,87	53,23	5,044	958,8	1949		41,54	0,6028	0,6028	0	33,43	1,032	8,605	0	24,66
	4100	18,93	19,54	20,17	34,55	25,06	42,93	53,89	5,138	960,4	1951		41,59	0,6145	0,6145	0	33,48	1,032	8,605	0	24,66
	4150	19,12	19,75	20,38	34,49	25,33	42,86	54,54	5,231	958,6	1949		41,53	0,6265	0,6265	0	33,42	1,032	8,605	0	24,66
	4200	19,29	19,93	20,57	34,39	25,58	42,77	55,2	5,324	956	1946		41,44	0,6384	0,6384	0	33,33	1,032	8,605	0	24,66
	4250	19,23	19,88	20,52	33,92	25,59	42,29	55,86	5,419	942,7	1916		40,98	0,6506	0,6506	0	32,87	1,032	8,605	0	24,66
	4300	19,17	19,84	20,47	33,44	25,6	41,82	56,52	5,514	929,4	1885		40,51	0,6629	0,6629	0	32,4	1,032	8,605	0	24,66
	4350	18,94	19,62	20,24	32,69	25,43	41,07	57,17	5,62	908,8	1836		39,79	0,6754	0,6754	0	31,68	1,032	8,605	0	24,66
	4400	18,71	19,4	20,02	31,95	25,27	40,33	57,83	5,726	888,2	1787		39,07	0,6879	0,6879	0	30,96	1,032	8,605	0	24,66
	4450	18,55	19,25	19,86	31,36	25,17	39,73	58,49	5,831	871,6	1755		38,5	0,7006	0,7006	0	30,39	1,032	8,605	0	24,66
	4500	18,42	19,13	19,74	30,82	25,11	39,2	59,14	5,937	856,6	1725		37,97	0,7134	0,7134	0	29,86	1,032	8,605	0	24,66
	4550	18,45	19,17	19,79	30,55	25,21	38,92	59,8	6,045	849	1711		37,71	0,7265	0,7265	0	29,6	1,032	8,605	0	24,66
	4600	18,53	19,27	19,89	30,37	25,38	38,74	60,46	6,152	844,1	1702		37,54	0,7396	0,7396	0	29,43	1,032	8,605	0	24,66
	4650	18,74	19,49	20,12	30,38	25,66	38,76	61,12	6,258	844,5	1702		37,55	0,7529	0,7529	0	29,44	1,032	8,605	0	24,66
	4700	18,98	19,75	20,38	30,45	25,98	38,83	61,77	6,364	846,4	1704		37,62	0,7663	0,7663	0	29,51	1,032	8,605	0	24,66
	4750	19,26	20,04	20,68	30,58	26,35	38,96	62,43	6,471	850,1	1708		37,75	0,7799	0,7799	0	29,64	1,032	8,605	0	24,66
	4800	19,62	20,41	21,06	30,82	26,79	39,2	63,09	6,577	856,7	1718		37,98	0,7936	0,7936	0	29,87	1,032	8,605	0	24,66
