																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	2000	5,676	5,9	6,097	21,47	8,565	30,08	26,29	0	596	377,5		29,05	0,2237	0,2237	0	20,78	1,033	8,605	0	25,03
	2050	6,156	6,387	6,601	22,62	9,13	31,28	26,94	0,1676	627,7	653,4		30,21	0,2309	0,2309	0	21,88	1,034	8,605	0	25,03
	2100	6,636	6,874	7,106	23,76	9,696	32,42	27,6	0,3352	659,3	929,4		31,31	0,2382	0,2382	0	22,98	1,034	8,605	0	25,03
	2150	7	7,245	7,491	24,46	10,14	33,12	28,26	0,4787	678,7	1123		31,99	0,2455	0,2455	0	23,66	1,034	8,605	0	25,03
	2200	7,255	7,508	7,762	24,78	10,48	33,44	28,91	0,6163	687,6	1256		32,3	0,253	0,253	0	23,97	1,034	8,605	0	25,03
	2250	7,356	7,616	7,874	24,58	10,65	33,24	29,57	0,7545	682	1312		32,11	0,2605	0,2605	0	23,78	1,034	8,605	0	25,03
	2300	7,359	7,627	7,885	24,08	10,72	32,74	30,23	0,9025	668,2	1310		31,62	0,2681	0,2681	0	23,29	1,034	8,605	0	25,03
	2350	7,389	7,664	7,924	23,69	10,82	32,35	30,89	1,048	657,1	1297		31,24	0,2758	0,2758	0	22,91	1,034	8,605	0	25,03
	2400	7,45	7,734	7,996	23,4	10,95	32,06	31,54	1,191	649,2	1281		30,96	0,2836	0,2836	0	22,63	1,034	8,605	0	25,03
	2450	7,516	7,808	8,072	23,14	11,09	31,8	32,2	1,336	642,1	1261		30,71	0,2915	0,2915	0	22,38	1,034	8,605	0	25,03
	2500	7,663	7,962	8,232	23,13	11,31	31,79	32,86	1,484	641,6	1259		30,7	0,2995	0,2995	0	22,37	1,034	8,605	0	25,03
	2550	7,87	8,178	8,455	23,28	11,6	31,94	33,52	1,628	646	1269		30,85	0,3076	0,3076	0	22,52	1,034	8,605	0	25,03
	2600	8,128	8,444	8,73	23,58	11,94	32,24	34,17	1,765	654,2	1288		31,14	0,3158	0,3158	0	22,81	1,034	8,605	0	25,03
	2650	8,313	8,638	8,93	23,67	12,2	32,33	34,83	1,906	656,6	1294		31,22	0,3241	0,3241	0	22,89	1,034	8,605	0	25,03
	2700	8,48	8,813	9,111	23,7	12,44	32,36	35,49	2,047	657,5	1298		31,25	0,3326	0,3326	0	22,92	1,034	8,605	0	25,03
	2750	8,669	9,01	9,315	23,79	12,71	32,45	36,14	2,189	660	1306		31,34	0,3411	0,3411	0	23,01	1,034	8,605	0	25,03
	2800	9,075	9,424	9,744	24,44	13,2	33,1	36,8	2,328	678	1346		31,97	0,3497	0,3497	0	23,64	1,034	8,605	0	25,03
	2850	9,692	10,05	10,39	25,59	13,91	34,25	37,46	2,454	710	1416		33,08	0,3584	0,3584	0	24,75	1,034	8,605	0	25,03
	2900	10,4	10,77	11,13	26,96	14,71	35,62	38,12	2,574	747,9	1499		34,4	0,3673	0,3673	0	26,07	1,034	8,605	0	25,03
	2950	11,13	11,51	11,9	28,31	15,54	36,98	38,77	2,682	785,4	1581		35,71	0,3762	0,3762	0	27,38	1,034	8,605	0	25,03
	3000	11,84	12,22	12,64	29,58	16,34	38,25	39,43	2,789	820,7	1658		36,94	0,3853	0,3853	0	28,61	1,034	8,605	0	25,03
	3050	12,43	12,82	13,25	30,51	17,02	39,18	40,09	2,892	846,5	1715		37,84	0,3945	0,3945	0	29,51	1,034	8,605	0	25,03
	3100	12,98	13,38	13,83	31,34	17,66	40,01	40,74	2,994	869,4	1765		38,64	0,4037	0,4037	0	30,31	1,034	8,605	0	25,03
	3150	13,42	13,83	14,3	31,87	18,19	40,54	41,4	3,095	884,2	1795		39,15	0,4132	0,4132	0	30,83	1,034	8,605	0	25,03
	3200	13,86	14,28	14,76	32,4	18,72	41,08	42,06	3,195	899	1823		39,67	0,4226	0,4226	0	31,34	1,034	8,605	0	25,03
	3250	14,31	14,75	15,25	32,94	19,26	41,61	42,72	3,295	913,9	1846		40,19	0,4323	0,4323	0	31,86	1,034	8,605	0	25,03
	3300	14,79	15,23	15,75	33,51	19,82	42,18	43,37	3,394	929,6	1874		40,74	0,442	0,442	0	32,41	1,034	8,605	0	25,03
	3350	15,31	15,76	16,3	34,16	20,44	42,83	44,03	3,488	947,7	1914		41,37	0,4519	0,4519	0	33,04	1,034	8,605	0	25,03
	3400	15,81	16,27	16,82	34,75	21,02	43,43	44,69	3,581	964,2	1951		41,94	0,4618	0,4618	0	33,61	1,034	8,605	0	25,03
	3450	16,16	16,63	17,2	35	21,46	43,68	45,34	3,669	971,1	1970		42,19	0,472	0,472	0	33,86	1,034	8,605	0	25,03
	3500	16,51	16,99	17,57	35,25	21,89	43,93	46	3,757	978,1	1990		42,43	0,4821	0,4821	0	34,1	1,034	8,605	0	25,03
	3550	16,54	17,04	17,61	34,86	22	43,53	46,66	3,851	967,1	1966		42,04	0,4925	0,4925	0	33,72	1,034	8,605	0	25,03
	3600	16,53	17,03	17,61	34,36	22,06	43,04	47,32	3,947	953,3	1934		41,56	0,5029	0,5029	0	33,23	1,034	8,605	0	25,03
	3650	16,03	16,54	17,1	32,93	21,61	41,6	47,97	4,048	913,6	1850		40,18	0,5136	0,5136	0	31,85	1,034	8,605	0	25,03
	3700	15,38	15,9	16,44	31,21	21,01	39,88	48,63	4,152	866	1749		38,52	0,5242	0,5242	0	30,19	1,034	8,605	0	25,03
	3750	14,11	14,64	15,14	28,38	19,77	37,05	49,29	4,28	787,3	1578		35,78	0,5351	0,5351	0	27,45	1,034	8,605	0	25,03
