																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	5950	31,47	32,63	33,3	39,31	44,44	52,46	78,39	5,002	1102	2224		51,4	1,158	1,158	0	38,51	1,021	8,584	0	
	6000	31,82	33	33,68	39,43	44,91	52,58	79,05	5,085	1105	2233		51,51	1,176	1,176	0	38,63	1,021	8,584	0	
	6050	32,43	33,62	34,32	39,83	45,64	52,98	79,71	5,163	1117	2261		51,91	1,194	1,194	0	39,03	1,021	8,584	0	
	6100	33,03	34,24	34,95	40,24	46,37	53,39	80,37	5,24	1128	2288		52,31	1,212	1,212	0	39,43	1,021	8,584	0	
	6150	33,59	34,82	35,54	40,58	47,05	53,73	81,03	5,318	1138	2310		52,64	1,23	1,23	0	39,76	1,021	8,584	0	
	6200	34,1	35,35	36,08	40,87	47,69	54,02	81,69	5,395	1146	2326		52,92	1,248	1,248	0	40,04	1,021	8,584	0	
	6250	34,61	35,88	36,62	41,15	48,32	54,3	82,35	5,473	1154	2343		53,2	1,267	1,267	0	40,32	1,021	8,584	0	
	6300	34,86	36,15	36,89	41,13	48,69	54,28	83	5,551	1153	2342		53,18	1,286	1,286	0	40,3	1,021	8,584	0	
	6350	35,09	36,4	37,15	41,09	49,04	54,24	83,66	5,629	1152	2339		53,14	1,305	1,305	0	40,26	1,021	8,584	0	
	6400	35,22	36,54	37,3	40,93	49,28	54,08	84,32	5,708	1147	2329		52,99	1,324	1,324	0	40,1	1,021	8,584	0	
	6450	35,17	36,51	37,27	40,58	49,34	53,73	84,98	5,788	1138	2309		52,64	1,343	1,343	0	39,76	1,021	8,584	0	
	6500	35,12	36,48	37,24	40,23	49,4	53,38	85,64	5,869	1128	2288		52,3	1,362	1,362	0	39,42	1,021	8,584	0	
	6550	34,86	36,24	36,99	39,68	49,26	52,82	86,3	5,951	1112	2253		51,75	1,382	1,382	0	38,87	1,021	8,584	0	
	6600	34,58	35,98	36,73	39,09	49,08	52,24	86,96	6,035	1096	2216		51,18	1,402	1,402	0	38,3	1,021	8,584	0	
	6650	34,27	35,69	36,43	38,48	48,88	51,63	87,62	6,12	1079	2177		50,58	1,422	1,422	0	37,7	1,021	8,584	0	
	6700	33,92	35,36	36,09	37,84	48,63	50,99	88,27	6,209	1061	2136		49,95	1,442	1,442	0	37,07	1,021	8,584	0	
	6750	33,57	35,04	35,76	37,21	48,4	50,36	88,93	6,298	1043	2098		49,34	1,463	1,463	0	36,46	1,021	8,584	0	
	6800	33,26	34,74	35,46	36,63	48,19	49,78	89,59	6,387	1027	2064		48,77	1,484	1,484	0	35,89	1,021	8,584	0	
	6850	32,94	34,45	35,16	36,05	47,99	49,2	90,25	6,476	1011	2031		48,2	1,504	1,504	0	35,32	1,021	8,584	0	
	6900	32,85	34,38	35,09	35,72	48	48,87	90,91	6,57	1001	2011		47,88	1,525	1,525	0	34,99	1,021	8,584	0	
	6950	32,76	34,31	35,02	35,39	48,03	48,54	91,57	6,664	992,1	1991		47,55	1,547	1,547	0	34,67	1,021	8,584	0	
	7000	33,03	34,6	35,31	35,43	48,42	48,58	92,23	6,755	993,2	1994		47,59	1,568	1,568	0	34,71	1,021	8,584	0	
	7050	33,36	34,95	35,67	35,53	48,87	48,68	92,89	6,845	996,2	2000		47,7	1,59	1,59	0	34,81	1,021	8,584	0	
	7100	33,82	35,43	36,16	35,77	49,46	48,92	93,54	6,935	1003	2015		47,93	1,612	1,612	0	35,05	1,021	8,584	0	
	7150	34,36	35,99	36,73	36,08	50,12	49,23	94,2	7,024	1012	2033		48,23	1,634	1,634	0	35,35	1,021	8,584	0	
	7200	34,95	36,6	37,36	36,44	50,84	49,59	94,86	7,113	1022	2054		48,59	1,656	1,656	0	35,7	1,021	8,584	0	
