																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	6250	35,37	36,64	37,49	42,12			82,35	4,611	1178	2386			1,267	1,267	0	41,17	1,023	8,584	0	26,05
	6300	35,89	37,17	38,03	42,4			83	4,687	1186	2401			1,286	1,286	0	41,44	1,023	8,584	0	26,05
	6350	36,13	37,43	38,3	42,36			83,66	4,762	1185	2398			1,305	1,305	0	41,4	1,023	8,584	0	26,05
	6400	36,36	37,69	38,56	42,32			84,32	4,838	1183	2395			1,324	1,324	0	41,36	1,023	8,584	0	26,05
	6450	36,31	37,65	38,52	41,95			84,98	4,916	1173	2373			1,343	1,343	0	41	1,023	8,584	0	26,05
	6500	36,14	37,5	38,37	41,46			85,64	4,996	1160	2343			1,363	1,363	0	40,53	1,023	8,584	0	26,05
	6550	35,94	37,32	38,18	40,95			86,3	5,077	1145	2312			1,382	1,382	0	40,02	1,023	8,584	0	26,05
	6600	35,62	37,02	37,88	40,31			86,96	5,16	1127	2274			1,402	1,402	0	39,4	1,023	8,584	0	26,05
	6650	35,3	36,72	37,57	39,68			87,62	5,243	1110	2236			1,422	1,422	0	38,79	1,023	8,584	0	26,05
	6700	34,92	36,36	37,2	39,01			88,27	5,328	1091	2193			1,442	1,442	0	38,13	1,023	8,584	0	26,05
	6750	34,53	35,99	36,82	38,32			88,93	5,413	1072	2149			1,463	1,463	0	37,45	1,023	8,584	0	26,05
	6800	34,2	35,68	36,51	37,71			89,59	5,501	1055	2110			1,484	1,484	0	36,86	1,023	8,584	0	26,05
	6850	33,94	35,44	36,26	37,18			90,25	5,593	1040	2077			1,504	1,504	0	36,34	1,023	8,584	0	26,05
	6900	33,81	35,33	36,15	36,8			90,91	5,684	1029	2054			1,525	1,525	0	35,96	1,023	8,584	0	26,05
	6950	34	35,55	36,37	36,75			91,57	5,772	1028	2054			1,547	1,547	0	35,92	1,023	8,584	0	26,05
	7000	34,2	35,76	36,59	36,72			92,23	5,86	1027	2053			1,568	1,568	0	35,88	1,023	8,584	0	26,05
	7050	34,7	36,29	37,13	36,98			92,89	5,947	1034	2068			1,59	1,59	0	36,15	1,023	8,584	0	26,05
	7100	35,19	36,81	37,66	37,25			93,54	6,035	1042	2082			1,612	1,612	0	36,41	1,023	8,584	0	26,05
	7150	35,75	37,38	38,25	37,57			94,2	6,121	1051	2099			1,634	1,634	0	36,72	1,023	8,584	0	26,05
	7200	36,32	37,98	38,86	37,9			94,86	6,206	1060	2116			1,656	1,656	0	37,04	1,023	8,584	0	26,05
	7250	36,93	38,61	39,5	38,27			95,52	6,291	1070	2135			1,678	1,678	0	37,4	1,023	8,584	0	26,05
	7300	37,61	39,31	40,22	38,69			96,18	6,376	1082	2158			1,701	1,701	0	37,81	1,023	8,584	0	26,05
	7350	38,28	40,01	40,93	39,11			96,84	6,461	1094	2181			1,724	1,724	0	38,23	1,023	8,584	0	26,05
	7400	39,06	40,81	41,75	39,62			97,5	6,541	1108	2212			1,747	1,747	0	38,73	1,023	8,584	0	26,05
