SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
1279 ;31:07,20 ;11674 ;91 ;84;84;0,849 ;64,9 ;63,2 ;66,1 ;65,9 ;0 ;4,66 ;12,2 ;1 ;5,63 ;44,0 ;0 ;1 ;
1279 ;31:07,30 ;12096 ;91 ;83;81;0,937 ;62,8 ;61,0 ;64,4 ;65,4 ;0 ;4,59 ;11,9 ;2 ;5,35 ;44,0 ;0 ;0 ;
1279 ;31:07,40 ;11689 ;91 ;84;81;1,007 ;60,3 ;58,4 ;61,7 ;61,8 ;0 ;4,58 ;11,9 ;2 ;5,27 ;44,0 ;0 ;0 ;
1279 ;31:07,50 ;11114 ;90 ;84;82;1,058 ;57,7 ;56,0 ;59,2 ;60,0 ;0 ;4,59 ;11,9 ;2 ;5,32 ;44,3 ;0 ;0 ;
1279 ;31:07,60 ;10695 ;90 ;84;83;1,050 ;54,6 ;53,9 ;56,5 ;56,4 ;0 ;4,59 ;12,0 ;3 ;5,40 ;43,2 ;0 ;0 ;
1279 ;31:07,70 ;10086 ;90 ;84;83;1,080 ;52,2 ;51,4 ;54,6 ;53,8 ;0 ;4,55 ;12,0 ;3 ;5,40 ;40,0 ;0 ;0 ;
1279 ;31:07,80 ;9689 ;89 ;84;83;0,993 ;49,4 ;48,2 ;52,5 ;52,6 ;0 ;4,61 ;12,0 ;6 ;5,47 ;41,0 ;0 ;0 ;
1279 ;31:07,90 ;9128 ;87 ;84;84;0,877 ;46,7 ;45,1 ;49,1 ;49,3 ;0 ;4,53 ;12,0 ;5 ;5,61 ;41,8 ;0 ;0 ;
1279 ;31:08,00 ;8442 ;80 ;84;84;0,857 ;43,4 ;42,3 ;45,4 ;45,0 ;0 ;4,66 ;12,0 ;3 ;5,55 ;43,1 ;0 ;0 ;
1279 ;31:08,10 ;8009 ;78 ;84;88;0,951 ;39,9 ;39,9 ;41,6 ;42,4 ;0 ;4,57 ;12,0 ;4 ;5,50 ;44,6 ;0 ;0 ;
1279 ;31:08,20 ;7267 ;71 ;84;89;1,076 ;37,5 ;37,6 ;39,2 ;39,0 ;0 ;4,58 ;12,1 ;3 ;5,33 ;39,3 ;0 ;0 ;
1279 ;31:08,30 ;6959 ;65 ;84;86;1,103 ;35,3 ;35,3 ;36,7 ;36,5 ;0 ;4,59 ;12,1 ;3 ;5,06 ;37,3 ;0 ;0 ;
1279 ;31:08,40 ;6447 ;53 ;84;80;1,119 ;34,6 ;33,5 ;34,5 ;34,6 ;0 ;4,58 ;12,1 ;0 ;4,61 ;36,0 ;0 ;0 ;
1279 ;31:08,50 ;6355 ;44 ;84;75;1,142 ;34,2 ;31,3 ;34,5 ;32,5 ;0 ;4,61 ;11,9 ;-3 ;4,20 ;36,1 ;0 ;0 ;
1279 ;31:08,60 ;6330 ;43 ;84;75;1,210 ;33,5 ;29,2 ;33,6 ;32,4 ;0 ;4,60 ;12,0 ;-2 ;4,20 ;36,0 ;0 ;0 ;
1279 ;31:08,70 ;6167 ;42 ;84;75;1,304 ;32,6 ;28,5 ;32,3 ;32,6 ;0 ;4,65 ;12,1 ;0 ;4,17 ;35,4 ;0 ;0 ;
1279 ;31:08,80 ;5706 ;40 ;84;74;1,142 ;32,4 ;28,0 ;32,0 ;28,7 ;0 ;4,58 ;12,2 ;-8 ;3,83 ;33,0 ;0 ;0 ;
1279 ;31:08,90 ;5664 ;35 ;84;68;0,894 ;31,8 ;27,7 ;31,4 ;30,4 ;0 ;4,55 ;12,2 ;-3 ;3,09 ;33,3 ;0 ;0 ;
1279 ;31:09,00 ;6027 ;34 ;84;65;0,880 ;31,7 ;27,4 ;31,2 ;27,0 ;0 ;4,65 ;12,1 ;-11 ;2,79 ;36,9 ;0 ;0 ;
1279 ;31:09,10 ;5746 ;32 ;84;58;0,948 ;31,5 ;28,2 ;30,8 ;28,0 ;0 ;4,61 ;12,1 ;-8 ;2,51 ;36,1 ;0 ;0 ;
1279 ;31:09,20 ;5650 ;20 ;84;37;0,921 ;31,1 ;29,5 ;30,6 ;29,2 ;0 ;4,63 ;12,2 ;-5 ;1,93 ;29,9 ;0 ;0 ;
1279 ;31:09,30 ;5699 ;3 ;84;30;0,875 ;30,7 ;31,6 ;30,6 ;31,2 ;0 ;4,65 ;12,2 ;-2 ;1,62 ;27,8 ;0 ;0 ;
1279 ;31:09,40 ;5898 ;3 ;84;28;0,862 ;31,0 ;32,9 ;30,5 ;32,4 ;0 ;4,55 ;12,1 ;-6 ;1,61 ;27,6 ;0 ;0 ;
1279 ;31:09,50 ;5973 ;3 ;84;28;0,840 ;32,0 ;33,5 ;32,0 ;33,0 ;0 ;4,56 ;12,1 ;-3 ;1,61 ;27,7 ;0 ;0 ;
1279 ;31:09,60 ;6298 ;3 ;84;30;0,820 ;32,9 ;33,5 ;32,6 ;33,5 ;0 ;4,61 ;12,0 ;-2 ;1,65 ;28,3 ;0 ;0 ;
1279 ;31:09,70 ;5978 ;3 ;84;34;0,841 ;34,2 ;35,2 ;31,5 ;31,8 ;0 ;4,60 ;12,1 ;-10 ;1,78 ;29,4 ;0 ;0 ;
1279 ;31:09,80 ;5690 ;3 ;84;37;0,817 ;36,8 ;37,5 ;32,4 ;32,1 ;0 ;4,63 ;11,9 ;-14 ;1,93 ;29,9 ;0 ;0 ;
1279 ;31:09,90 ;5259 ;3 ;84;36;0,847 ;39,0 ;40,1 ;39,0 ;40,0 ;0 ;4,67 ;12,0 ;-2 ;1,84 ;29,0 ;0 ;0 ;
1279 ;31:10,00 ;5493 ;3 ;84;34;0,869 ;40,7 ;40,9 ;40,0 ;40,6 ;0 ;4,59 ;11,9 ;-1 ;1,74 ;28,6 ;0 ;0 ;
1279 ;31:10,10 ;5577 ;3 ;84;32;0,949 ;41,4 ;41,3 ;40,7 ;40,9 ;0 ;4,60 ;12,0 ;-1 ;1,63 ;28,1 ;0 ;0 ;
1279 ;31:10,20 ;5608 ;3 ;84;30;1,034 ;42,3 ;42,2 ;41,5 ;41,6 ;0 ;4,58 ;11,8 ;-1 ;1,62 ;27,7 ;0 ;0 ;
1279 ;31:10,30 ;5763 ;3 ;84;28;1,012 ;43,3 ;43,3 ;43,3 ;42,4 ;0 ;4,60 ;11,9 ;-1 ;1,61 ;27,4 ;0 ;0 ;
1279 ;31:10,40 ;6034 ;3 ;84;26;0,947 ;44,8 ;44,7 ;44,2 ;43,7 ;0 ;4,58 ;12,0 ;-2 ;1,59 ;27,2 ;0 ;0 ;
1279 ;31:10,50 ;6171 ;3 ;84;26;0,919 ;46,1 ;46,1 ;45,5 ;44,9 ;0 ;4,57 ;12,0 ;-2 ;1,86 ;27,2 ;0 ;0 ;
