SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
2329 ;3:03,40 ;8423 ;100 ;75;21;88;0,744 ;40,8 ;41,3 ;45,4 ;45,6 ;15 ;4,49 ;6,28 ;12,7 ;9 ;6,22 ;43,6 ;0 ;0 ;
2329 ;3:03,50 ;7665 ;100 ;75;21;92;0,787 ;38,6 ;38,5 ;41,3 ;40,3 ;0 ;4,55 ;6,24 ;12,7 ;4 ;5,81 ;42,1 ;0 ;0 ;
2329 ;3:03,60 ;7038 ;100 ;75;21;94;0,961 ;36,2 ;36,3 ;37,0 ;37,3 ;0 ;4,55 ;5,98 ;12,9 ;1 ;5,50 ;37,1 ;0 ;0 ;
2329 ;3:03,70 ;6805 ;100 ;75;21;95;1,025 ;34,6 ;33,7 ;36,3 ;35,5 ;0 ;4,56 ;5,76 ;12,8 ;3 ;5,50 ;35,8 ;0 ;0 ;
2329 ;3:03,80 ;6410 ;100 ;75;21;95;1,030 ;32,6 ;31,3 ;33,8 ;32,0 ;0 ;4,56 ;5,40 ;12,8 ;0 ;5,57 ;33,6 ;0 ;0 ;
2329 ;3:03,90 ;6109 ;100 ;75;21;95;0,994 ;30,8 ;28,2 ;32,7 ;35,2 ;10 ;4,54 ;5,21 ;12,7 ;8 ;5,62 ;32,2 ;0 ;0 ;
2329 ;3:04,00 ;5929 ;100 ;75;21;95;0,995 ;29,0 ;25,2 ;30,4 ;35,1 ;10 ;4,56 ;5,07 ;12,8 ;8 ;5,68 ;31,6 ;0 ;0 ;
2329 ;3:04,10 ;5662 ;100 ;75;21;95;1,056 ;27,5 ;22,4 ;28,5 ;27,7 ;0 ;4,58 ;4,65 ;12,9 ;1 ;5,83 ;31,3 ;0 ;0 ;
2329 ;3:04,20 ;5070 ;100 ;75;21;96;1,363 ;26,5 ;20,1 ;29,0 ;28,6 ;10 ;4,56 ;4,45 ;13,0 ;8 ;6,41 ;30,8 ;0 ;0 ;
2329 ;3:04,30 ;4930 ;100 ;75;21;96;1,461 ;24,2 ;18,6 ;23,7 ;33,1 ;5 ;4,57 ;3,98 ;13,1 ;7 ;6,47 ;30,5 ;0 ;0 ;
2329 ;3:04,40 ;4024 ;100 ;75;21;96;1,101 ;23,8 ;18,5 ;22,5 ;16,9 ;0 ;4,47 ;3,11 ;12,8 ;-23 ;6,33 ;26,8 ;0 ;0 ;
2329 ;3:04,50 ;3344 ;100 ;75;21;97;1,022 ;24,4 ;18,8 ;22,9 ;17,2 ;0 ;4,51 ;3,03 ;12,8 ;-23 ;6,41 ;23,2 ;0 ;0 ;
2329 ;3:04,60 ;3868 ;76 ;75;21;87;1,017 ;24,6 ;19,0 ;23,4 ;17,9 ;0 ;4,44 ;3,32 ;12,7 ;-21 ;4,06 ;19,5 ;0 ;0 ;
2329 ;3:04,70 ;3846 ;10 ;75;21;61;1,024 ;24,6 ;19,1 ;23,4 ;17,9 ;0 ;4,44 ;3,30 ;12,7 ;-21 ;2,65 ;16,7 ;0 ;0 ;
2329 ;3:04,80 ;3917 ;10 ;75;21;61;1,013 ;24,8 ;19,1 ;23,6 ;18,2 ;0 ;4,43 ;3,34 ;12,9 ;-21 ;2,67 ;17,0 ;0 ;0 ;
2329 ;3:04,90 ;3894 ;10 ;75;21;61;0,995 ;24,8 ;19,3 ;23,6 ;18,1 ;0 ;4,53 ;3,42 ;12,9 ;-21 ;2,66 ;16,9 ;0 ;0 ;
2329 ;3:05,00 ;4007 ;10 ;75;21;61;0,976 ;25,1 ;19,5 ;23,8 ;18,1 ;0 ;4,47 ;3,42 ;12,7 ;-22 ;2,70 ;17,5 ;0 ;0 ;
2329 ;3:05,10 ;3985 ;10 ;75;21;61;0,945 ;25,4 ;19,7 ;24,2 ;18,5 ;0 ;4,65 ;3,43 ;12,9 ;-21 ;2,69 ;17,5 ;0 ;0 ;
2329 ;3:05,20 ;4032 ;10 ;75;21;61;0,946 ;25,6 ;20,2 ;24,4 ;18,7 ;0 ;4,56 ;3,46 ;12,9 ;-21 ;2,70 ;17,8 ;0 ;0 ;
2329 ;3:05,30 ;4060 ;10 ;75;21;61;0,962 ;26,1 ;20,4 ;24,9 ;19,3 ;0 ;4,55 ;3,45 ;12,8 ;-20 ;2,70 ;18,0 ;0 ;0 ;
2329 ;3:05,40 ;4131 ;10 ;75;21;61;0,940 ;26,4 ;20,6 ;25,1 ;19,6 ;0 ;4,54 ;3,59 ;13,0 ;-20 ;2,70 ;18,7 ;0 ;0 ;
2329 ;3:05,50 ;4337 ;10 ;75;21;60;0,929 ;26,4 ;20,8 ;25,1 ;19,9 ;0 ;4,54 ;3,81 ;12,8 ;-19 ;2,66 ;20,8 ;0 ;0 ;
2329 ;3:05,60 ;4435 ;10 ;75;21;60;0,915 ;26,6 ;21,0 ;25,4 ;19,9 ;0 ;4,60 ;3,83 ;12,8 ;-20 ;2,67 ;21,9 ;0 ;0 ;
2329 ;3:05,70 ;4452 ;10 ;75;21;60;0,914 ;27,0 ;21,6 ;25,7 ;20,2 ;0 ;4,58 ;3,85 ;12,8 ;-20 ;2,67 ;22,0 ;0 ;0 ;
2329 ;3:05,80 ;4454 ;10 ;75;21;60;0,924 ;27,3 ;22,0 ;26,2 ;20,8 ;0 ;4,62 ;3,80 ;12,9 ;-19 ;2,67 ;22,0 ;0 ;0 ;
2329 ;3:05,90 ;4403 ;10 ;75;21;59;0,920 ;27,8 ;22,6 ;26,7 ;21,5 ;0 ;4,54 ;3,75 ;12,7 ;-17 ;2,62 ;21,7 ;0 ;0 ;
2329 ;3:06,00 ;4389 ;10 ;75;21;59;0,918 ;28,3 ;23,4 ;27,6 ;22,0 ;0 ;4,54 ;3,72 ;12,9 ;-17 ;2,61 ;21,5 ;0 ;0 ;
2329 ;3:06,10 ;4402 ;10 ;75;21;58;0,902 ;28,9 ;24,0 ;27,9 ;17,8 ;0 ;4,60 ;3,75 ;12,9 ;-29 ;2,57 ;21,7 ;0 ;0 ;
2329 ;3:06,20 ;4538 ;10 ;75;21;56;0,857 ;29,7 ;25,0 ;29,0 ;21,0 ;0 ;4,57 ;3,99 ;12,8 ;-22 ;2,48 ;23,7 ;0 ;0 ;
2329 ;3:06,30 ;4825 ;10 ;75;21;54;0,844 ;30,7 ;26,5 ;29,9 ;21,4 ;0 ;4,57 ;4,32 ;12,9 ;-23 ;2,42 ;27,8 ;0 ;0 ;
2329 ;3:06,40 ;5243 ;10 ;75;21;48;0,847 ;31,7 ;27,7 ;31,2 ;26,7 ;0 ;4,61 ;4,82 ;12,7 ;-12 ;2,27 ;29,5 ;0 ;0 ;
2329 ;3:06,50 ;5765 ;10 ;75;21;43;0,851 ;32,2 ;29,1 ;31,5 ;27,2 ;0 ;4,56 ;5,26 ;12,9 ;-12 ;2,18 ;31,6 ;0 ;0 ;
2329 ;3:06,60 ;5982 ;10 ;75;21;41;0,859 ;32,7 ;30,8 ;32,7 ;29,8 ;0 ;4,60 ;5,38 ;12,7 ;-6 ;2,14 ;32,0 ;0 ;0 ;
2329 ;3:06,70 ;6173 ;10 ;75;21;39;0,843 ;33,3 ;32,8 ;33,0 ;32,3 ;0 ;4,58 ;5,52 ;13,0 ;-2 ;2,13 ;31,0 ;0 ;0 ;
2329 ;3:06,80 ;6334 ;10 ;75;21;38;0,856 ;34,2 ;34,0 ;34,0 ;33,1 ;0 ;4,60 ;5,71 ;12,7 ;-2 ;2,07 ;30,7 ;0 ;0 ;
2329 ;3:06,90 ;6569 ;10 ;76;21;35;0,882 ;35,7 ;35,3 ;35,2 ;34,5 ;0 ;4,54 ;5,87 ;13,0 ;-3 ;1,90 ;29,8 ;0 ;0 ;
2329 ;3:07,00 ;6800 ;10 ;76;21;34;0,898 ;37,2 ;37,0 ;36,7 ;36,4 ;0 ;4,59 ;6,00 ;12,8 ;-2 ;1,84 ;29,5 ;0 ;0 ;
2329 ;3:07,10 ;7075 ;11 ;76;21;31;0,878 ;38,6 ;38,2 ;38,4 ;37,2 ;0 ;4,63 ;6,11 ;12,7 ;-2 ;1,70 ;28,5 ;0 ;0 ;
2329 ;3:07,20 ;7413 ;11 ;76;21;29;0,904 ;41,1 ;40,5 ;40,4 ;39,4 ;0 ;4,63 ;6,21 ;12,7 ;-3 ;1,67 ;27,8 ;0 ;0 ;
2329 ;3:07,30 ;7914 ;11 ;76;21;27;0,965 ;43,4 ;42,5 ;42,5 ;41,2 ;0 ;4,59 ;6,29 ;12,8 ;-4 ;1,64 ;27,5 ;0 ;0 ;
2329 ;3:07,40 ;8162 ;11 ;76;21;27;1,066 ;45,0 ;44,2 ;44,2 ;43,6 ;0 ;4,58 ;6,35 ;12,9 ;-2 ;1,73 ;27,6 ;0 ;0 ;
2329 ;3:07,50 ;8442 ;11 ;76;21;28;1,155 ;46,1 ;45,3 ;45,2 ;44,5 ;0 ;4,56 ;6,39 ;12,8 ;-3 ;1,89 ;28,2 ;0 ;0 ;
2329 ;3:07,60 ;8374 ;11 ;76;20;29;1,141 ;47,4 ;47,1 ;45,4 ;45,2 ;0 ;4,58 ;6,34 ;12,8 ;-4 ;1,86 ;28,5 ;0 ;0 ;
2329 ;3:07,70 ;8644 ;11 ;76;20;29;1,005 ;49,3 ;48,4 ;48,0 ;43,6 ;0 ;4,59 ;6,41 ;12,7 ;-9 ;1,93 ;28,7 ;0 ;0 ;
2329 ;3:07,80 ;8945 ;11 ;76;21;29;0,860 ;50,9 ;51,9 ;49,5 ;50,2 ;0 ;4,61 ;6,44 ;13,0 ;-4 ;1,93 ;28,7 ;0 ;0 ;
2329 ;3:07,90 ;8819 ;11 ;76;21;28;0,823 ;52,8 ;53,2 ;50,9 ;50,2 ;0 ;4,58 ;6,45 ;12,9 ;-5 ;1,93 ;28,2 ;0 ;0 ;
2329 ;3:08,00 ;8873 ;11 ;76;21;27;0,815 ;55,3 ;53,9 ;50,6 ;50,3 ;0 ;4,53 ;6,45 ;12,8 ;-9 ;1,93 ;27,8 ;0 ;0 ;
2329 ;3:08,10 ;8177 ;11 ;76;21;31;0,839 ;57,8 ;56,7 ;52,1 ;49,3 ;0 ;4,57 ;6,33 ;13,0 ;-13 ;1,78 ;28,9 ;0 ;0 ;
2329 ;3:08,20 ;7361 ;11 ;76;21;36;0,868 ;58,9 ;59,2 ;44,9 ;44,5 ;0 ;4,58 ;6,22 ;12,8 ;-24 ;1,95 ;30,1 ;0 ;0 ;
2329 ;3:08,30 ;7038 ;12 ;76;21;37;0,838 ;59,4 ;61,4 ;37,5 ;75,9 ;0 ;4,57 ;6,05 ;12,9 ;-23 ;2,01 ;30,4 ;0 ;0 ;
2329 ;3:08,40 ;6646 ;12 ;77;21;35;0,840 ;61,7 ;64,7 ;60,1 ;24,2 ;0 ;4,56 ;5,94 ;13,0 ;-48 ;1,90 ;29,8 ;0 ;0 ;
