																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4000	15,21	15,8	16,13	28,54			52,7	0E-15	799,6	1626			0,5919	0,5919	0	27,95	1,021	8,584	0	34,43
	4050	15,87	16,47	16,82	29,3			53,36	0,09826	821	1669			0,6042	0,6042	0	28,69	1,021	8,584	0	34,43
	4100	16,53	17,15	17,51	30,06			54,02	0,1965	842,3	1711			0,6164	0,6164	0	29,44	1,021	8,584	0	34,43
	4150	17,19	17,82	18,2	30,82			54,68	0,2948	863,7	1754			0,6287	0,6287	0	30,18	1,021	8,584	0	34,43
	4200	17,86	18,5	18,89	31,59			55,34	0,393	885	1797			0,6409	0,6409	0	30,93	1,021	8,584	0	34,43
	4250	18,52	19,17	19,58	32,35			55,99	0,4913	906,4	1839			0,6532	0,6532	0	31,68	1,021	8,584	0	34,43
	4300	18,9	19,57	19,98	32,64			56,65	0,593	914,6	1854			0,6655	0,6655	0	31,96	1,021	8,584	0	34,43
	4350	18,08	18,76	19,15	30,94			57,31	0,7091	866,9	1748			0,678	0,678	0	30,3	1,021	8,584	0	34,43
	4400	16,79	17,48	17,85	28,52			57,97	0,834	799,1	1603			0,6906	0,6906	0	27,93	1,021	8,584	0	34,43
	4450	14,99	15,69	16,02	25,29			58,63	0,9688	708,5	1413			0,7034	0,7034	0	24,76	1,021	8,584	0	34,43
	4500	12,38	13,1	13,37	20,88			59,29	1,138	585,2	1152			0,7163	0,7163	0	20,45	1,021	8,584	0	34,43
	4550	9,712	10,44	10,66	16,46			59,95	1,358	461,2	882,4			0,7293	0,7293	0	16,12	1,021	8,584	0	34,43
	4600	9,281	10,02	10,24	15,63			60,61	1,586	437,9	828			0,7425	0,7425	0	15,3	1,021	8,584	0	34,43
	4650	10,56	11,32	11,56	17,46			61,26	1,771	489,2	936,5			0,7559	0,7559	0	17,1	1,021	8,584	0	34,43
	4700	11,72	12,49	12,76	19,06			61,92	1,928	534	1031			0,7694	0,7694	0	18,66	1,021	8,584	0	34,43
	4750	13	13,79	14,08	20,81			62,58	2,096	583,1	1138			0,7831	0,7831	0	20,38	1,021	8,584	0	34,43
	4800	14,09	14,89	15,21	22,24			63,24	2,242	623,2	1227			0,7969	0,7969	0	21,78	1,021	8,584	0	34,43
	4850	15	15,81	16,15	23,38			63,9	2,368	655,2	1298			0,8108	0,8108	0	22,9	1,021	8,584	0	34,43
	4900	15,28	16,11	16,45	23,57			64,56	2,515	660,5	1302			0,8249	0,8249	0	23,08	1,021	8,584	0	34,43
	4950	15,21	16,05	16,39	23,26			65,22	2,661	651,6	1280			0,8392	0,8392	0	22,77	1,021	8,584	0	34,43
	5000	14,93	15,78	16,12	22,64			65,88	2,81	634,3	1242			0,8535	0,8535	0	22,17	1,021	8,584	0	34,43
	5050	14,63	15,5	15,83	22,02			66,53	2,971	616,9	1203			0,8681	0,8681	0	21,56	1,021	8,584	0	34,43
	5100	14,89	15,77	16,11	22,18			67,19	3,12	621,6	1207			0,8828	0,8828	0	21,72	1,021	8,584	0	34,43
	5150	15,83	16,72	17,08	23,28			67,85	3,268	652,4	1270			0,8977	0,8977	0	22,8	1,021	8,584	0	34,43
	5200	17,48	18,4	18,78	25,36			68,51	3,403	710,5	1394			0,9127	0,9127	0	24,83	1,021	8,584	0	34,43
	5250	20,04	20,97	21,41	28,63			69,17	3,512	802,2	1591			0,9279	0,9279	0	28,03	1,021	8,584	0	34,43
	5300	22,42	23,37	23,86	31,6			69,83	3,608	885,4	1770			0,9433	0,9433	0	30,94	1,021	8,584	0	34,43
	5350	24,6	25,56	26,1	34,23			70,49	3,687	959	1929			0,9589	0,9589	0	33,52	1,021	8,584	0	34,43
	5400	26,78	27,75	28,34	36,85			71,15	3,766	1033	2088			0,9744	0,9744	0	36,09	1,021	8,584	0	34,43
	5450	28,09	29,08	29,69	38,25			71,8	3,845	1072	2171			0,9904	0,9904	0	37,46	1,021	8,584	0	34,43
	5500	29,35	30,35	31	39,57			72,46	3,924	1109	2249			1,006	1,006	0	38,75	1,021	8,584	0	34,43
	5550	30,26	31,28	31,94	40,42			73,12	4,003	1133	2301			1,022	1,022	0	39,59	1,021	8,584	0	34,43
	5600	30,65	31,69	32,36	40,59			73,78	4,084	1137	2312			1,039	1,039	0	39,75	1,021	8,584	0	34,43
	5650	31,05	32,1	32,78	40,75			74,44	4,165	1142	2323			1,055	1,055	0	39,91	1,021	8,584	0	34,43
	5700	31,09	32,16	32,85	40,48			75,1	4,246	1134	2307			1,072	1,072	0	39,64	1,021	8,584	0	34,43
	5750	31,11	32,2	32,88	40,16			75,76	4,328	1125	2289			1,089	1,089	0	39,33	1,021	8,584	0	34,43
	5800	31,14	32,24	32,92	39,87			76,42	4,41	1117	2271			1,106	1,106	0	39,04	1,021	8,584	0	34,43
	5850	31,18	32,3	32,98	39,6			77,08	4,493	1110	2252			1,123	1,123	0	38,78	1,021	8,584	0	34,43
	5900	31,24	32,38	33,06	39,36			77,73	4,576	1103	2234			1,140	1,140	0	38,54	1,021	8,584	0	34,43
	5950	31,59	32,75	33,45	39,48			78,39	4,659	1106	2240			1,158	1,158	0	38,66	1,021	8,584	0	34,43
	6000	31,95	33,13	33,83	39,6			79,05	4,742	1110	2246			1,176	1,176	0	38,78	1,021	8,584	0	34,43
	6050	32,5	33,7	34,41	39,94			79,71	4,821	1119	2269			1,194	1,194	0	39,11	1,021	8,584	0	34,43
	6100	33,16	34,37	35,1	40,41			80,37	4,899	1132	2300			1,212	1,212	0	39,57	1,021	8,584	0	34,43
	6150	33,81	35,04	35,78	40,86			81,03	4,976	1145	2331			1,23	1,23	0	40,01	1,021	8,584	0	34,43
	6200	34,3	35,55	36,3	41,12			81,69	5,051	1152	2345			1,248	1,248	0	40,27	1,021	8,584	0	34,43
	6250	34,79	36,06	36,82	41,38			82,35	5,126	1159	2360			1,267	1,267	0	40,52	1,021	8,584	0	34,43
	6300	35,16	36,45	37,22	41,5			83	5,202	1163	2366			1,286	1,286	0	40,64	1,021	8,584	0	34,43
	6350	35,35	36,66	37,43	41,41			83,66	5,282	1160	2359			1,305	1,305	0	40,55	1,021	8,584	0	34,43
	6400	35,54	36,87	37,65	41,31			84,32	5,363	1158	2352			1,324	1,324	0	40,46	1,021	8,584	0	34,43
	6450	35,49	36,84	37,62	40,97			84,98	5,441	1148	2331			1,343	1,343	0	40,12	1,021	8,584	0	34,43
	6500	35,42	36,78	37,56	40,59			85,64	5,519	1137	2309			1,363	1,363	0	39,75	1,021	8,584	0	34,43
	6550	35,26	36,64	37,42	40,12			86,3	5,599	1124	2280			1,382	1,382	0	39,29	1,021	8,584	0	34,43
	6600	34,93	36,33	37,1	39,49			86,96	5,685	1106	2240			1,402	1,402	0	38,67	1,021	8,584	0	34,43
	6650	34,6	36,02	36,78	38,85			87,62	5,77	1089	2200			1,422	1,422	0	38,04	1,021	8,584	0	34,43
	6700	34,15	35,59	36,34	38,1			88,27	5,856	1068	2156			1,442	1,442	0	37,31	1,021	8,584	0	34,43
	6750	33,69	35,16	35,9	37,36			88,93	5,942	1047	2113			1,463	1,463	0	36,58	1,021	8,584	0	34,43
	6800	31,61	33,09	33,79	34,93			89,59	6,033	978,6	1966			1,484	1,484	0	34,2	1,021	8,584	0	34,43
	6850	28,71	30,22	30,86	31,66			90,25	6,126	887,1	1769			1,504	1,504	0	31	1,021	8,584	0	34,43
	6900	17,87	19,39	19,8	20,17			90,91	6,321	565,2	1073			1,525	1,525	0	19,75	1,021	8,584	0	34,43
