																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	6200	34,07	35,32	35,99	40,77			81,69	6,367	1145	2322			1,248	1,248	0	40,01	1,019	8,584	0	34,43
	6250	34,5	35,77	36,45	40,96			82,35	6,444	1150	2333			1,267	1,267	0	40,19	1,019	8,584	0	34,43
	6300	34,77	36,06	36,74	40,96			83	6,519	1150	2333			1,286	1,286	0	40,2	1,019	8,584	0	34,43
	6350	35,05	36,35	37,04	40,97			83,66	6,595	1150	2333			1,304	1,304	0	40,21	1,019	8,584	0	34,43
	6400	35	36,32	37,01	40,62			84,32	6,678	1141	2311			1,324	1,324	0	39,86	1,019	8,584	0	34,43
	6450	34,92	36,26	36,95	40,24			84,98	6,762	1130	2288			1,343	1,343	0	39,49	1,019	8,584	0	34,43
	6500	34,76	36,12	36,81	39,78			85,64	6,844	1117	2261			1,363	1,363	0	39,03	1,019	8,584	0	34,43
	6550	34,53	35,91	36,59	39,24			86,3	6,925	1102	2229			1,382	1,382	0	38,51	1,019	8,584	0	34,43
	6600	34,28	35,68	36,36	38,7			86,96	7,006	1087	2196			1,402	1,402	0	37,97	1,019	8,584	0	34,43
	6650	33,8	35,22	35,89	37,92			87,62	7,097	1065	2146			1,422	1,422	0	37,21	1,019	8,584	0	34,43
	6700	33,32	34,76	35,42	37,14			88,27	7,187	1043	2095			1,442	1,442	0	36,44	1,019	8,584	0	34,43
	6750	32,95	34,41	35,06	36,49			88,93	7,278	1025	2058			1,463	1,463	0	35,81	1,019	8,584	0	34,43
	6800	32,6	34,08	34,73	35,87			89,59	7,37	1007	2023			1,484	1,484	0	35,2	1,019	8,584	0	34,43
	6850	32,38	33,89	34,53	35,41			90,25	7,462	994,3	1995			1,504	1,504	0	34,75	1,019	8,584	0	34,43
	6900	32,24	33,77	34,41	35,03			90,91	7,554	983,5	1971			1,525	1,525	0	34,37	1,019	8,584	0	34,43
	6950	32,21	33,76	34,4	34,76			91,57	7,648	976,1	1952			1,547	1,547	0	34,11	1,019	8,584	0	34,43
	7000	32,29	33,86	34,51	34,62			92,23	7,744	972,2	1940			1,568	1,568	0	33,98	1,019	8,584	0	34,43
	7050	32,47	34,06	34,7	34,57			92,89	7,839	970,8	1935			1,59	1,59	0	33,93	1,019	8,584	0	34,43
	7100	32,76	34,37	35,03	34,65			93,54	7,932	973	1941			1,612	1,612	0	34	1,019	8,584	0	34,43
	7150	33,1	34,74	35,4	34,77			94,2	8,025	976,3	1950			1,634	1,634	0	34,12	1,019	8,584	0	34,43
	7200	33,56	35,22	35,89	35,01			94,86	8,118	983	1965			1,656	1,656	0	34,35	1,019	8,584	0	34,43
	7250	34,06	35,74	36,42	35,28			95,52	8,21	990,7	1981			1,678	1,678	0	34,62	1,019	8,584	0	34,43
	7300	34,89	36,59	37,29	35,87			96,18	8,3	1007	2016			1,701	1,701	0	35,2	1,019	8,584	0	34,43
	7350	35,72	37,44	38,15	36,46			96,84	8,39	1024	2050			1,724	1,724	0	35,78	1,019	8,584	0	34,43
	7400	36,8	38,55	39,28	37,28			97,5	8,474	1047	2098			1,747	1,747	0	36,58	1,019	8,584	0	34,43
	7450	37,92	39,69	40,45	38,12			98,16	8,558	1071	2148			1,77	1,77	0	37,41	1,019	8,584	0	34,43
	7500	39,08	40,87	41,65	39			98,81	8,639	1095	2198			1,794	1,794	0	38,27	1,019	8,584	0	34,43
	7550	40,28	42,1	42,9	39,9			99,47	8,718	1120	2251			1,817	1,817	0	39,16	1,019	8,584	0	34,43
	7600	41,49	43,33	44,15	40,8			100,1	8,797	1146	2303			1,841	1,841	0	40,04	1,019	8,584	0	34,43
	7650	42,68	44,54	45,39	41,67			100,8	8,872	1170	2354			1,865	1,865	0	40,89	1,019	8,584	0	34,43
	7700	43,87	45,76	46,63	42,53			101,4	8,947	1194	2405			1,889	1,889	0	41,73	1,019	8,584	0	34,43
	7750	45,06	46,97	47,86	43,37			102,1	9,021	1218	2455			1,914	1,914	0	42,56	1,019	8,584	0	34,43
	7800	46,22	48,16	49,07	44,18			102,8	9,092	1241	2503			1,939	1,939	0	43,35	1,019	8,584	0	34,43
	7850	47,38	49,35	50,29	44,99			103,4	9,163	1263	2552			1,964	1,964	0	44,15	1,019	8,584	0	34,43
	7900	48,49	50,48	51,44	45,73			104,1	9,232	1284	2596			1,989	1,989	0	44,87	1,019	8,584	0	34,43
	7950	49,52	51,53	52,51	46,39			104,7	9,3	1302	2635			2,014	2,014	0	45,52	1,019	8,584	0	34,43
	8000	50,55	52,59	53,59	47,05			105,4	9,367	1321	2673			2,04	2,04	0	46,17	1,019	8,584	0	34,43
	8050	51,53	53,6	54,62	47,65			106,1	9,434	1338	2709			2,066	2,066	0	46,76	1,019	8,584	0	34,43
	8100	52,47	54,56	55,59	48,2			106,7	9,5	1353	2742			2,092	2,092	0	47,3	1,019	8,584	0	34,43
	8150	53,4	55,52	56,57	48,75			107,4	9,566	1369	2775			2,118	2,118	0	47,84	1,019	8,584	0	34,43
	8200	54,25	56,4	57,47	49,22			108	9,631	1382	2805			2,144	2,144	0	48,3	1,019	8,584	0	34,43
	8250	55,03	57,2	58,29	49,61			108,7	9,694	1393	2831			2,171	2,171	0	48,69	1,019	8,584	0	34,43
	8300	55,8	58	59,1	50,01			109,4	9,757	1404	2857			2,198	2,198	0	49,07	1,019	8,584	0	34,43
	8350	56,47	58,69	59,81	50,31			110	9,82	1413	2875			2,225	2,225	0	49,37	1,019	8,584	0	34,43
	8400	56,88	59,13	60,26	50,39			110,7	9,883	1415	2876			2,253	2,253	0	49,44	1,019	8,584	0	34,43
	8450	57,3	59,58	60,72	50,47			111,3	9,946	1417	2877			2,280	2,280	0	49,52	1,019	8,584	0	34,43
	8500	57,68	59,99	61,15	50,53			112	10,01	1418	2877			2,308	2,308	0	49,57	1,019	8,584	0	34,43
	8550	57,88	60,21	61,37	50,42			112,6	10,07	1415	2865			2,336	2,336	0	49,46	1,019	8,584	0	34,43
	8600	58,07	60,44	61,6	50,31			113,3	10,14	1412	2854			2,364	2,364	0	49,36	1,019	8,584	0	34,43
	8650	58,26	60,66	61,82	50,2			114	10,21	1409	2844			2,393	2,393	0	49,25	1,019	8,584	0	34,43
	8700	58,45	60,87	62,04	50,09			114,6	10,27	1406	2838			2,422	2,422	0	49,14	1,019	8,584	0	34,43
	8750	58,63	61,08	62,25	49,97			115,3	10,34	1403	2832			2,451	2,451	0	49,03	1,019	8,584	0	34,43
	8800	58,81	61,29	62,47	49,86			115,9	10,4	1400	2826			2,48	2,48	0	48,92	1,019	8,584	0	34,43
	8850	58,91	61,42	62,6	49,68			116,6	10,46	1395	2816			2,509	2,509	0	48,74	1,019	8,584	0	34,43
	8900	59,01	61,55	62,73	49,51			117,3	10,53	1390	2805			2,539	2,539	0	48,57	1,019	8,584	0	34,43
	8950	59,1	61,67	62,86	49,33			117,9	10,6	1385	2794			2,569	2,569	0	48,4	1,019	8,584	0	34,43
	9000	59,2	61,8	62,99	49,16			118,6	10,66	1380	2784			2,599	2,599	0	48,23	1,019	8,584	0	34,43
	9050	59,3	61,93	63,13	48,99			119,2	10,73	1375	2774			2,63	2,63	0	48,07	1,019	8,584	0	34,43
	9100	59,4	62,06	63,26	48,82			119,9	10,8	1371	2763			2,66	2,66	0	47,9	1,019	8,584	0	34,43
	9150	59,59	62,28	63,48	48,73			120,6	10,86	1368	2758			2,691	2,691	0	47,81	1,019	8,584	0	34,43
	9200	59,78	62,5	63,7	48,63			121,2	10,93	1365	2754			2,722	2,722	0	47,71	1,019	8,584	0	34,43
	9250	59,97	62,72	63,93	48,54			121,9	10,99	1363	2749			2,753	2,753	0	47,62	1,019	8,584	0	34,43
	9300	60,09	62,87	64,08	48,4			122,5	11,06	1359	2739			2,785	2,785	0	47,48	1,019	8,584	0	34,43
	9350	60,2	63,02	64,23	48,25			123,2	11,13	1355	2727			2,817	2,817	0	47,34	1,019	8,584	0	34,43
