SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;
2230 ;3:07,50 ;7019 ;14 ;85;39;40;0,852 ;0,0 ;0,0 ;0,0 ;1067,7 ;0 ;4,65 ;12,3 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:07,60 ;7009 ;14 ;85;39;40;0,852 ;0,0 ;0,0 ;0,0 ;4,5 ;0 ;4,73 ;12,2 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:07,70 ;6959 ;13 ;85;39;40;0,849 ;0,0 ;0,0 ;0,0 ;25,5 ;0 ;4,70 ;12,2 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:07,80 ;6952 ;13 ;85;39;40;0,849 ;0,0 ;0,0 ;0,0 ;133,2 ;0 ;4,66 ;12,3 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:07,90 ;6983 ;13 ;85;39;39;0,855 ;0,0 ;0,0 ;0,0 ;48,6 ;0 ;4,68 ;12,2 ;-1 ;2,06 ;31,0 ;0 ;
2230 ;3:08,00 ;6931 ;13 ;85;39;39;0,862 ;0,0 ;0,0 ;0,0 ;51,6 ;0 ;4,65 ;12,2 ;-1 ;2,06 ;31,0 ;0 ;
2230 ;3:08,10 ;6972 ;13 ;84;39;39;0,857 ;0,0 ;0,0 ;0,0 ;4,0 ;0 ;4,73 ;12,1 ;-1 ;2,06 ;31,0 ;0 ;
2230 ;3:08,20 ;6957 ;13 ;84;39;40;0,854 ;0,0 ;0,0 ;0,0 ;758,3 ;0 ;4,70 ;12,3 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:08,30 ;6944 ;13 ;84;39;39;0,863 ;0,0 ;0,0 ;0,0 ;6,7 ;0 ;4,68 ;12,3 ;-1 ;2,06 ;31,0 ;0 ;
2230 ;3:08,40 ;6965 ;13 ;84;39;40;0,869 ;0,0 ;0,0 ;0,0 ;4,0 ;0 ;4,71 ;12,3 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:08,50 ;6936 ;13 ;84;39;39;0,872 ;0,0 ;0,0 ;0,0 ;15,9 ;0 ;4,63 ;12,3 ;-1 ;2,06 ;31,0 ;0 ;
2230 ;3:08,60 ;6929 ;13 ;84;39;40;0,875 ;0,0 ;0,0 ;0,0 ;1067,7 ;0 ;4,72 ;12,2 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:08,70 ;6895 ;13 ;84;39;40;0,868 ;0,0 ;0,0 ;0,0 ;6,1 ;0 ;4,68 ;12,1 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:08,80 ;6888 ;13 ;84;39;40;0,861 ;0,0 ;0,0 ;0,0 ;28,6 ;0 ;4,70 ;12,1 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:08,90 ;6880 ;13 ;84;39;40;0,860 ;0,0 ;0,0 ;0,0 ;3,6 ;0 ;4,67 ;12,2 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:09,00 ;6890 ;13 ;84;39;40;0,855 ;0,0 ;0,0 ;0,0 ;249,6 ;0 ;4,68 ;12,3 ;-1 ;2,07 ;31,7 ;0 ;
2230 ;3:09,10 ;6853 ;13 ;84;39;40;0,855 ;0,0 ;0,0 ;0,0 ;249,6 ;0 ;4,65 ;12,3 ;-1 ;2,07 ;31,7 ;0 ;
