SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;L/100K;
772 ;17:13,40 ;11965 ;53 ;99;56;0,765 ;0,0 ;60,3 ;63,8 ;49,7 ;1,000 ;0 ;6,55 ;11,6 ;-11 ;0 ;0 ;0,0;
772 ;17:13,50 ;11792 ;55 ;99;60;0,859 ;0,0 ;60,1 ;63,3 ;16,7 ;1,000 ;0 ;6,47 ;11,5 ;-52 ;0 ;0 ;0,0;
772 ;17:13,60 ;11602 ;63 ;99;68;0,984 ;0,0 ;58,1 ;63,6 ;12,9 ;1,000 ;0 ;6,51 ;11,5 ;-56 ;0 ;0 ;0,0;
772 ;17:13,70 ;11624 ;85 ;99;80;1,068 ;0,0 ;56,3 ;61,0 ;33,4 ;1,000 ;0 ;6,44 ;11,7 ;-28 ;0 ;0 ;0,0;
772 ;17:13,80 ;10990 ;84 ;99;81;1,086 ;0,0 ;54,9 ;58,4 ;58,7 ;1,000 ;0 ;6,24 ;11,6 ;6 ;0 ;0 ;0,0;
772 ;17:13,90 ;10623 ;84 ;98;82;1,096 ;0,0 ;52,6 ;56,4 ;21,4 ;1,000 ;0 ;6,22 ;11,6 ;-42 ;0 ;0 ;0,0;
772 ;17:14,00 ;10168 ;84 ;98;81;1,120 ;0,0 ;50,9 ;53,7 ;21,4 ;1,000 ;0 ;5,86 ;11,8 ;-42 ;0 ;0 ;0,0;
772 ;17:14,10 ;9837 ;83 ;98;82;1,239 ;0,0 ;47,7 ;53,7 ;10,5 ;1,000 ;0 ;5,71 ;11,8 ;-55 ;0 ;0 ;0,0;
772 ;17:14,20 ;9745 ;83 ;98;82;1,465 ;0,0 ;44,1 ;52,7 ;26,7 ;1,000 ;0 ;4,30 ;11,8 ;-24 ;0 ;0 ;0,0;
772 ;17:14,30 ;9469 ;81 ;98;81;1,465 ;0,0 ;41,8 ;49,8 ;15,5 ;1,000 ;0 ;3,78 ;11,8 ;-42 ;0 ;0 ;0,0;
772 ;17:14,40 ;8882 ;70 ;98;75;1,256 ;0,0 ;41,3 ;46,2 ;526,9 ;1,000 ;0 ;5,71 ;11,8 ;302 ;0 ;0 ;0,0;
772 ;17:14,50 ;8700 ;63 ;98;62;1,133 ;0,0 ;41,4 ;46,6 ;44,9 ;1,000 ;0 ;5,62 ;11,8 ;9 ;0 ;0 ;0,0;
772 ;17:14,60 ;8507 ;36 ;97;48;1,125 ;0,0 ;41,5 ;46,2 ;46,2 ;1,000 ;0 ;5,50 ;11,7 ;11 ;0 ;0 ;0,0;
772 ;17:14,70 ;8385 ;33 ;97;48;1,147 ;0,0 ;42,0 ;45,0 ;4,7 ;1,000 ;0 ;5,43 ;11,8 ;-65 ;0 ;0 ;0,0;
772 ;17:14,80 ;8180 ;33 ;97;49;1,222 ;0,0 ;42,1 ;44,8 ;23,5 ;1,000 ;0 ;5,39 ;11,8 ;-31 ;0 ;0 ;0,0;
772 ;17:14,90 ;8130 ;33 ;97;47;1,297 ;0,0 ;42,8 ;44,5 ;3,0 ;1,000 ;0 ;5,52 ;11,8 ;-68 ;0 ;0 ;0,0;
772 ;17:15,00 ;8419 ;33 ;97;44;1,234 ;0,0 ;45,4 ;45,3 ;18,5 ;1,000 ;0 ;5,60 ;11,9 ;-44 ;0 ;0 ;0,0;
772 ;17:15,10 ;8790 ;33 ;97;42;1,144 ;0,0 ;47,9 ;45,5 ;26,3 ;1,000 ;0 ;5,81 ;11,9 ;-35 ;0 ;0 ;0,0;
772 ;17:15,20 ;9254 ;33 ;97;40;1,040 ;0,0 ;49,7 ;49,7 ;10,0 ;1,000 ;0 ;6,03 ;11,8 ;-59 ;0 ;0 ;0,0;
772 ;17:15,30 ;9605 ;33 ;97;40;0,950 ;0,0 ;50,5 ;51,7 ;10,0 ;1,000 ;0 ;6,25 ;11,8 ;-59 ;0 ;0 ;0,0;
772 ;17:15,40 ;9946 ;33 ;97;41;0,875 ;0,0 ;52,2 ;54,1 ;10,0 ;1,000 ;0 ;6,28 ;11,7 ;-59 ;0 ;0 ;0,0;
772 ;17:15,50 ;10234 ;33 ;97;41;0,875 ;0,0 ;54,4 ;55,0 ;28,6 ;1,000 ;0 ;6,33 ;11,7 ;-35 ;0 ;0 ;0,0;
772 ;17:15,60 ;10984 ;33 ;96;40;0,929 ;0,0 ;55,7 ;58,3 ;49,6 ;1,000 ;0 ;6,37 ;11,8 ;-7 ;0 ;0 ;0,0;
772 ;17:15,70 ;11029 ;33 ;96;41;1,091 ;0,0 ;59,0 ;55,9 ;48,5 ;1,000 ;0 ;6,39 ;11,8 ;-14 ;0 ;0 ;0,0;
772 ;17:15,80 ;10738 ;33 ;96;41;1,325 ;0,0 ;61,6 ;56,2 ;14,2 ;1,000 ;0 ;6,33 ;11,6 ;-59 ;0 ;0 ;0,0;
772 ;17:15,90 ;10064 ;33 ;96;41;1,261 ;0,0 ;64,0 ;61,5 ;4,1 ;1,000 ;0 ;6,30 ;11,7 ;-71 ;0 ;0 ;0,0;
772 ;17:16,00 ;9159 ;33 ;96;43;1,498 ;0,0 ;66,4 ;61,4 ;75,8 ;1,000 ;0 ;5,82 ;11,8 ;-2 ;0 ;0 ;0,0;
772 ;17:16,10 ;8890 ;33 ;96;47;1,498 ;0,0 ;69,7 ;46,1 ;31,4 ;1,000 ;0 ;5,59 ;11,7 ;-49 ;0 ;0 ;0,0;
772 ;17:16,20 ;7878 ;33 ;96;49;1,498 ;0,0 ;71,8 ;68,2 ;6,7 ;1,000 ;0 ;5,36 ;11,9 ;-69 ;0 ;1 ;0,0;
