SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;
784 ;4:33,90 ;9071 ;25 ;99;33;0,500 ;48,7 ;0,0 ;48,8 ;47,8 ;1,000 ;0 ;4,60 ;6,02 ;11,6 ;-1 ;0 ;0 ;
784 ;4:34,00 ;9115 ;24 ;99;31;0,500 ;50,8 ;0,0 ;50,8 ;15,7 ;1,000 ;0 ;4,56 ;6,03 ;11,7 ;-51 ;0 ;0 ;
784 ;4:34,10 ;9182 ;24 ;99;31;0,500 ;51,0 ;0,0 ;51,0 ;15,7 ;1,000 ;0 ;4,60 ;6,28 ;11,7 ;-51 ;0 ;0 ;
784 ;4:34,20 ;9286 ;23 ;99;30;0,500 ;51,5 ;0,0 ;51,0 ;15,6 ;1,000 ;0 ;4,61 ;6,07 ;11,7 ;-52 ;0 ;0 ;
784 ;4:34,30 ;9346 ;23 ;99;30;0,500 ;52,1 ;0,0 ;51,8 ;82,5 ;1,000 ;0 ;4,62 ;6,25 ;11,6 ;14 ;0 ;0 ;
784 ;4:34,40 ;9445 ;23 ;98;30;0,500 ;51,7 ;0,0 ;51,7 ;1,4 ;1,000 ;0 ;4,55 ;6,18 ;11,7 ;-73 ;0 ;0 ;
784 ;4:34,50 ;9720 ;23 ;98;30;0,500 ;52,2 ;0,0 ;52,2 ;7,0 ;1,000 ;0 ;4,58 ;6,31 ;11,6 ;-64 ;0 ;0 ;
784 ;4:34,60 ;9786 ;23 ;98;30;0,500 ;52,1 ;0,0 ;52,4 ;7,0 ;1,000 ;0 ;4,61 ;6,28 ;11,7 ;-64 ;0 ;0 ;
784 ;4:34,70 ;9791 ;23 ;98;30;0,500 ;52,9 ;0,0 ;53,0 ;20,6 ;1,000 ;0 ;4,60 ;6,45 ;11,8 ;-45 ;0 ;0 ;
784 ;4:34,80 ;9915 ;23 ;98;31;0,500 ;52,9 ;0,0 ;53,0 ;20,6 ;1,000 ;0 ;4,58 ;6,22 ;11,8 ;-45 ;0 ;0 ;
784 ;4:34,90 ;9973 ;23 ;98;33;0,500 ;53,6 ;0,0 ;53,1 ;1,2 ;1,000 ;0 ;4,61 ;6,29 ;11,7 ;-73 ;0 ;0 ;
784 ;4:35,00 ;10124 ;23 ;98;34;0,500 ;54,3 ;0,0 ;53,7 ;1,8 ;1,000 ;0 ;4,58 ;6,36 ;11,7 ;-72 ;0 ;0 ;
784 ;4:35,10 ;10353 ;23 ;98;33;0,500 ;55,8 ;0,0 ;55,8 ;1,8 ;1,000 ;0 ;4,60 ;6,56 ;11,7 ;-72 ;0 ;0 ;
784 ;4:35,20 ;10545 ;23 ;98;33;0,500 ;57,7 ;0,0 ;56,9 ;23,0 ;1,000 ;0 ;4,60 ;6,51 ;11,6 ;-45 ;0 ;0 ;
