"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
85043,1556369365298,0.435,0.41,0.3997,0.02,0.02,0.98,1,2,-0,0,19,73,22,99,1221,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85063,1556369365318,0.436,0.408,0.3984,0.02,0.02,0.98,1,2,-0,0,19,73,22,99,1222,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85083,1556369365338,0.431,0.414,0.3984,0.02,0.02,0.98,0,2,-0,0,19,73,22,99,1222,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85103,1556369365358,0.437,0.408,0.4022,0.02,0.02,0.98,0,2,-0,0,19,73,22,99,1223,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85123,1556369365378,0.439,0.408,0.401,0.02,0.02,0.98,0,2,-0,0,19,73,22,99,1224,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85143,1556369365398,0.434,0.414,0.3997,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1224,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85163,1556369365418,0.436,0.407,0.3984,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1225,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85183,1556369365438,0.431,0.408,0.3984,0.02,0.02,0.98,0,1,-0,0,20,73,22,99,1225,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85203,1556369365458,0.44,0.412,0.3997,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1225,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85223,1556369365478,0.439,0.412,0.3997,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1225,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85243,1556369365498,0.434,0.408,0.4022,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1226,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85263,1556369365518,0.439,0.412,0.3984,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1226,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85283,1556369365538,0.435,0.408,0.4035,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1227,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85303,1556369365558,0.432,0.414,0.3997,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1227,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85323,1556369365578,0.439,0.408,0.401,0.02,0.02,0.98,0,1,-0,0,19,73,22,99,1228,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85343,1556369365598,0.437,0.41,0.3997,0.02,0.02,0.98,0,0,-0,0,19,73,22,99,1228,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85363,1556369365618,0.434,0.408,0.3997,0.02,0.02,0.98,0,0,-0,0,19,73,22,99,1229,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85383,1556369365638,0.431,0.407,0.4047,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1229,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85403,1556369365658,0.439,0.408,0.3984,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1229,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85423,1556369365678,0.44,0.412,0.3959,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1230,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85443,1556369365697,0.439,0.41,0.3984,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1230,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85463,1556369365717,0.436,0.41,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1230,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85483,1556369365737,0.436,0.408,0.4072,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1231,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85503,1556369365757,0.436,0.408,0.4047,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1231,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85523,1556369365777,0.434,0.415,0.3984,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1232,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85543,1556369365797,0.431,0.408,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1232,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85563,1556369365817,0.431,0.407,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1232,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85583,1556369365837,0.434,0.412,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1233,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85603,1556369365857,0.44,0.411,0.3997,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1233,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85623,1556369365877,0.432,0.414,0.4047,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1234,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85643,1556369365897,0.439,0.408,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1235,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85663,1556369365917,0.436,0.408,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1235,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85683,1556369365937,0.435,0.408,0.4035,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1236,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85703,1556369365957,0.436,0.408,0.406,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1236,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85723,1556369365977,0.434,0.414,0.4047,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1236,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85743,1556369365991,0.437,0.408,0.4047,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1237,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85763,1556369366011,0.432,0.408,0.4022,0.01,0.02,0.98,0,0,-0,0,19,73,22,99,1237,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85783,1556369366031,0.434,0.414,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1237,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85803,1556369366051,0.434,0.415,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1238,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85823,1556369366071,0.434,0.412,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1239,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85843,1556369366097,0.434,0.416,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1240,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85863,1556369366117,0.434,0.414,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1240,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85883,1556369366137,0.437,0.408,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1241,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85903,1556369366157,0.437,0.408,0.4047,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1241,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85923,1556369366177,0.432,0.408,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1241,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85943,1556369366197,0.436,0.398,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1240,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
85963,1556369366217,0.432,0.412,0.3984,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1240,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
85983,1556369366237,0.43,0.407,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1241,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86003,1556369366257,0.44,0.412,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1241,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86023,1556369366277,0.434,0.415,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1242,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86043,1556369366297,0.437,0.41,0.406,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1242,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
86063,1556369366317,0.434,0.406,0.3984,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1243,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86083,1556369366337,0.437,0.408,0.401,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1244,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86103,1556369366357,0.425,0.41,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1245,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86123,1556369366377,0.434,0.41,0.406,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1245,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86143,1556369366397,0.439,0.412,0.3984,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1246,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
86163,1556369366417,0.437,0.407,0.3984,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1246,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86183,1556369366437,0.434,0.405,0.401,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1246,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86203,1556369366457,0.434,0.412,0.3934,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1246,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86223,1556369366477,0.44,0.412,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1247,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86243,1556369366497,0.434,0.414,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1247,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
86263,1556369366517,0.435,0.408,0.3984,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1248,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86283,1556369366537,0.44,0.41,0.401,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1249,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86303,1556369366557,0.436,0.415,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1249,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86323,1556369366577,0.44,0.411,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1251,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86343,1556369366597,0.434,0.41,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1251,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
86363,1556369366617,0.439,0.411,0.3972,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1251,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86383,1556369366637,0.437,0.407,0.406,0.01,0.02,0.99,0,-0,-0,0,20,73,22,99,1252,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86403,1556369366657,0.434,0.408,0.4047,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1252,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86423,1556369366677,0.434,0.415,0.4022,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1252,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
