																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	3850	16,98	17,54	17,93	32,71	23,05	42,04	50,72	4,215	915,6	1849		41,13	0,5592	0,5592	0	32	1,022	8,584	0	26,05
	3900	17,34	17,91	18,32	32,98	23,49	42,3	51,38	4,313	923,1	1863		41,39	0,5705	0,5705	0	32,26	1,022	8,584	0	26,05
	3950	17,64	18,22	18,64	33,14	23,87	42,44	52,04	4,415	926,9	1870		41,52	0,5819	0,5819	0	32,39	1,023	8,584	0	26,05
	4000	17,73	18,32	18,75	32,92	24,04	42,22	52,7	4,513	920,8	1856		41,31	0,5935	0,5935	0	32,18	1,023	8,584	0	26,05
	4050	17,69	18,29	18,72	32,46	24,08	41,76	53,36	4,608	907,8	1828		40,85	0,6051	0,6051	0	31,73	1,023	8,584	0	26,05
	4100	17,08	17,69	18,1	31,03	23,53	40,33	54,02	4,714	867,8	1741		39,46	0,6169	0,6169	0	30,33	1,023	8,584	0	26,05
	4150	15,91	16,54	16,93	28,66	22,42	37,96	54,68	4,829	801,4	1596		37,13	0,6288	0,6288	0	28,01	1,023	8,584	0	26,05
	4200	13,6	14,24	14,57	24,39	20,14	33,69	55,34	4,985	682	1342		32,96	0,6409	0,6409	0	23,84	1,023	8,584	0	26,05
	4250	11,17	11,82	12,1	20	17,73	29,31	55,99	5,17	559,3	1082		28,68	0,6531	0,6531	0	19,55	1,023	8,584	0	26,05
	4300	9,644	10,31	10,55	17,23	16,25	26,55	56,65	5,373	482	915,6		25,97	0,6655	0,6655	0	16,84	1,023	8,584	0	26,05
	4350	9,469	10,15	10,38	16,76	16,15	26,07	57,31	5,58	468,8	888,8		25,51	0,678	0,678	0	16,38	1,023	8,584	0	26,05
