																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	3850	17,91	18,47	18,87	34,42	25,04	45,67	50,72	4,258	964,2	1955	0	44,72	0,5593	0,5593	0	33,7	1,021	8,584	0	
	3900	18,12	18,69	19,09	34,38	25,34	45,64	51,38	4,356	963,2	1954	0	44,69	0,5705	0,5705	0	33,66	1,021	8,584	0	
	3950	18,39	18,97	19,37	34,45	25,7	45,7	52,04	4,446	965,1	1957	0	44,75	0,582	0,582	0	33,73	1,021	8,584	0	
	4000	18,66	19,25	19,66	34,52	26,07	45,78	52,7	4,535	967,3	1960	0	44,83	0,5935	0,5935	0	33,8	1,021	8,584	0	
	4050	18,82	19,42	19,84	34,4	26,33	45,66	53,36	4,629	963,9	1951	0	44,71	0,6051	0,6051	0	33,69	1,021	8,584	0	
	4100	18,92	19,53	19,95	34,17	26,52	45,43	54,02	4,726	957,5	1934	0	44,49	0,6169	0,6169	0	33,46	1,021	8,584	0	
	4150	18,75	19,38	19,79	33,5	26,44	44,76	54,68	4,823	938,6	1894	0	43,83	0,6289	0,6289	0	32,8	1,021	8,584	0	
	4200	18,39	19,04	19,44	32,52	26,17	43,78	55,34	4,92	911,1	1838	0	42,87	0,6409	0,6409	0	31,84	1,021	8,584	0	
	4250	17,7	18,36	18,75	30,99	25,56	42,25	55,99	5,028	868,4	1746	0	41,37	0,6531	0,6531	0	30,35	1,021	8,584	0	
	4300	16,7	17,37	17,74	28,98	24,63	40,24	56,65	5,147	811,9	1620	0	39,4	0,6655	0,6655	0	28,38	1,021	8,584	0	
	4350	15,89	16,57	16,92	27,34	23,9	38,59	57,31	5,28	765,9	1518	0	37,79	0,678	0,678	0	26,77	1,021	8,584	0	
	4400	15,4	16,09	16,44	26,24	23,49	37,5	57,97	5,411	735,1	1452	0	36,72	0,6906	0,6906	0	25,69	1,021	8,584	0	
	4450	15,4	16,1	16,45	25,96	23,58	37,22	58,63	5,534	727,2	1441	0	36,44	0,7034	0,7034	0	25,42	1,021	8,584	0	
	4500	15,65	16,37	16,72	26,09	23,93	37,35	59,29	5,656	731,1	1452	0	36,57	0,7163	0,7163	0	25,55	1,021	8,584	0	
	4550	16,01	16,74	17,09	26,38	24,39	37,64	59,95	5,778	739,2	1469	0	36,86	0,7293	0,7293	0	25,83	1,021	8,584	0	
	4600	16,4	17,15	17,51	26,73	24,88	37,99	60,61	5,899	749	1485	0	37,2	0,7426	0,7426	0	26,18	1,021	8,584	0	
	4650	16,73	17,48	17,86	26,97	25,31	38,23	61,26	6,021	755,6	1496	0	37,43	0,7559	0,7559	0	26,41	1,021	8,584	0	
	4700	16,97	17,74	18,11	27,07	25,65	38,33	61,92	6,143	758,4	1500	0	37,53	0,7694	0,7694	0	26,5	1,021	8,584	0	
	4750	17,29	18,07	18,46	27,29	26,07	38,55	62,58	6,266	764,6	1515	0	37,75	0,7831	0,7831	0	26,72	1,021	8,584	0	
	4800	17,7	18,5	18,9	27,65	26,59	38,9	63,24	6,387	774,6	1540	0	38,09	0,7968	0,7968	0	27,07	1,021	8,584	0	
	4850	18,42	19,23	19,64	28,44	27,42	39,7	63,9	6,499	796,8	1588	0	38,87	0,8108	0,8108	0	27,85	1,021	8,584	0	
	4900	19,19	20,02	20,44	29,3	28,3	40,56	64,56	6,608	820,9	1640	0	39,71	0,8249	0,8249	0	28,69	1,021	8,584	0	
	4950	20,05	20,88	21,33	30,26	29,26	41,52	65,22	6,713	847,7	1695	0	40,65	0,8392	0,8392	0	29,63	1,021	8,584	0	
	5000	20,79	21,64	22,1	31,05	30,12	42,3	65,88	6,815	869,8	1741	0	41,42	0,8536	0,8536	0	30,4	1,021	8,584	0	
	5050	21,42	22,29	22,77	31,66	30,86	42,92	66,53	6,916	887	1776	0	42,02	0,8681	0,8681	0	31	1,021	8,584	0	
