"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
4083,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4123,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4163,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4203,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4243,0,1,1,52,58,35,38,100,0.02,-0.01,1.0,0,0,0,0.02,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0707
4283,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4323,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4363,0,,,,,,,,0.02,-0.01,1.0,0,-0,0,0.02,0,,,,,,,,,,,,,,,,,
4403,0,,,,,,,,0.02,-0.01,1.0,0,-0,0,0.02,0,,,,,,,,,,,,,,,,,
4443,0,0,2,52,58,35,38,100,0.02,-0.01,1.0,0,-0,0,0.02,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.074
4483,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4523,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4563,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4603,0,,,,,,,,0.02,-0.01,0.99,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4643,0,0,2,52,58,35,38,100,0.02,-0.01,0.99,0,0,0,0.02,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0774
4683,0,,,,,,,,0.02,-0.01,0.99,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4723,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4763,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4803,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4843,0,-0,0,52,58,35,38,100,0.02,-0.01,1.0,0,0,0,0.03,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0807
4883,0,,,,,,,,0.02,-0.01,1.0,0,-0,0,0.02,0,,,,,,,,,,,,,,,,,
4923,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
4963,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.02,0,,,,,,,,,,,,,,,,,
5003,0,,,,,,,,0.02,-0.01,1.0,0,0,0,0.03,0,,,,,,,,,,,,,,,,,
5043,0,1,2,52,58,35,38,100,0.03,-0.01,1.0,0,0,0,0.03,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.084
