"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
52083,0,,,,,,,,-0.31,0.08,-0.59,1,-20,19,0.32,0,,,,,,,,,,,,,,,,,
52123,0,,,,,,,,-0.13,0.05,-0.1,1,-12,14,0.14,0,,,,,,,,,,,,,,,,,
52163,0,,,,,,,,-0.11,-0.03,-0.1,1,2,-1,0.12,0,,,,,,,,,,,,,,,,,
52203,0,,,,,,,,-0.15,0.05,-0.46,1,-10,10,0.15,0,,,,,,,,,,,,,,,,,
52243,0,7,7,47,52,33,37,-6,-0.03,-0.01,-0.25,1,-10,12,0.04,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8707
52283,0,,,,,,,,0.12,-0.08,0.18,1,-1,4,0.15,0,,,,,,,,,,,,,,,,,
52323,0,,,,,,,,0.21,-0.14,0.52,1,4,-2,0.25,0,,,,,,,,,,,,,,,,,
52363,0,,,,,,,,0.31,-0.17,0.8,1,-1,3,0.35,0,,,,,,,,,,,,,,,,,
52403,0,,,,,,,,0.18,-0.07,0.27,1,-19,17,0.2,0,,,,,,,,,,,,,,,,,
52443,0,7,7,47,52,33,37,-6,-0.07,0.02,-0.16,1,-12,12,0.07,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.874
52483,0,,,,,,,,0.09,-0.01,0.25,0,3,-4,0.09,0,,,,,,,,,,,,,,,,,
52523,0,,,,,,,,0.23,-0.03,0.18,1,-7,5,0.23,0,,,,,,,,,,,,,,,,,
52563,0,,,,,,,,-0.07,-0.0,-0.23,1,-13,12,0.07,0,,,,,,,,,,,,,,,,,
52603,0,,,,,,,,0.15,-0.06,0.19,1,5,-6,0.16,0,,,,,,,,,,,,,,,,,
52643,0,8,6,47,52,33,37,-6,0.11,-0.04,0.13,1,-14,8,0.12,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8774
52683,0,,,,,,,,-0.05,-0.04,0.13,1,-1,1,0.06,0,,,,,,,,,,,,,,,,,
52723,0,,,,,,,,0.19,-0.12,0.48,-1,5,0,0.22,0,,,,,,,,,,,,,,,,,
52763,0,,,,,,,,-0.11,-0.09,0.01,0,-1,9,0.14,0,,,,,,,,,,,,,,,,,
52803,0,,,,,,,,0.18,-0.05,0.39,0,15,-5,0.19,0,,,,,,,,,,,,,,,,,
52843,0,8,7,47,52,33,37,-7,-0.13,0.01,-0.07,0,-3,7,0.13,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8807
52883,0,,,,,,,,0.14,-0.01,0.33,0,9,-4,0.14,0,,,,,,,,,,,,,,,,,
52923,0,,,,,,,,-0.18,-0.01,-0.06,1,-1,0,0.19,0,,,,,,,,,,,,,,,,,
52963,0,,,,,,,,0.01,-0.08,-0.07,1,-6,5,0.08,0,,,,,,,,,,,,,,,,,
53003,0,,,,,,,,0.09,-0.14,-0.04,-0,12,-3,0.17,0,,,,,,,,,,,,,,,,,
53043,0,9,6,47,52,33,37,-6,-0.17,-0.12,-0.41,1,1,3,0.21,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.884
53083,0,,,,,,,,-0.02,-0.11,-0.35,1,-4,4,0.11,0,,,,,,,,,,,,,,,,,
53123,0,,,,,,,,-0.06,-0.12,-0.27,1,8,-5,0.14,0,,,,,,,,,,,,,,,,,
53163,0,,,,,,,,-0.25,-0.04,-0.6,1,-12,6,0.25,0,,,,,,,,,,,,,,,,,
53203,0,,,,,,,,0.0,-0.03,-0.5,1,-1,-1,0.03,0,,,,,,,,,,,,,,,,,
53243,0,8,5,47,52,33,37,-6,-0.02,-0.02,-0.39,-1,8,-7,0.03,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8874
53283,0,,,,,,,,-0.15,-0.01,-0.7,-1,-11,4,0.15,0,,,,,,,,,,,,,,,,,
53323,0,,,,,,,,0.04,-0.08,-0.58,-1,-1,-3,0.08,0,,,,,,,,,,,,,,,,,
53363,0,,,,,,,,-0.02,-0.07,-0.45,-2,3,-9,0.08,0,,,,,,,,,,,,,,,,,
53403,0,,,,,,,,-0.29,-0.05,-0.75,-1,-10,-0,0.3,0,,,,,,,,,,,,,,,,,
53443,0,8,7,47,52,33,37,-6,-0.17,-0.06,-0.63,-0,-13,0,0.18,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8907
53483,0,,,,,,,,-0.08,-0.05,-0.49,-1,2,-6,0.09,0,,,,,,,,,,,,,,,,,
53523,0,,,,,,,,-0.26,-0.0,-0.78,-0,-6,3,0.26,0,,,,,,,,,,,,,,,,,
53563,0,,,,,,,,-0.1,-0.05,-0.65,0,-2,-0,0.11,0,,,,,,,,,,,,,,,,,
53603,0,,,,,,,,-0.01,-0.11,-0.51,0,10,-8,0.11,0,,,,,,,,,,,,,,,,,
53643,0,7,7,47,52,33,37,-6,-0.22,-0.1,-0.79,1,-6,2,0.24,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.894
53683,0,,,,,,,,-0.09,-0.1,-0.66,1,-9,1,0.13,0,,,,,,,,,,,,,,,,,
53723,0,,,,,,,,-0.12,-0.09,-0.52,1,-5,-5,0.15,0,,,,,,,,,,,,,,,,,
53763,0,,,,,,,,-0.14,0.03,-0.8,2,-10,5,0.15,0,,,,,,,,,,,,,,,,,
53803,0,,,,,,,,0.03,0.05,-0.27,2,4,-5,0.06,0,,,,,,,,,,,,,,,,,
53843,0,8,6,47,52,33,37,-6,-0.27,0.04,-0.6,2,-13,5,0.27,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8974
53883,0,,,,,,,,-0.03,-0.05,-0.5,2,-2,-4,0.06,0,,,,,,,,,,,,,,,,,
53923,0,,,,,,,,-0.2,-0.0,-0.39,1,-10,3,0.2,0,,,,,,,,,,,,,,,,,
53963,0,,,,,,,,0.09,-0.03,-0.34,0,3,-5,0.09,0,,,,,,,,,,,,,,,,,
