SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;CAM T;

1325 ;0:00,10 ;567 ;83 ;79;97;0,561 ;21,3 ;18,8 ;21,0 ;18,7 ;0 ;4,60 ;11,6 ;-9 ;5,35 ;17,1 ;0 ;0 ;13 ;0 ;
1325 ;0:00,20 ;567 ;86 ;79;98;0,507 ;21,7 ;18,9 ;21,3 ;18,6 ;0 ;4,58 ;11,6 ;-11 ;5,47 ;18,0 ;0 ;0 ;13 ;0 ;
1325 ;0:00,30 ;567 ;82 ;79;98;0,507 ;22,1 ;18,9 ;21,6 ;18,5 ;0 ;4,61 ;11,6 ;-13 ;5,47 ;18,0 ;0 ;0 ;13 ;0 ;
1325 ;0:00,40 ;567 ;87 ;79;98;0,506 ;22,3 ;19,3 ;21,9 ;18,9 ;0 ;4,60 ;11,6 ;-12 ;5,47 ;18,0 ;0 ;0 ;13 ;0 ;
1325 ;0:00,50 ;921 ;82 ;79;98;0,505 ;22,7 ;19,4 ;22,3 ;19,0 ;0 ;4,61 ;11,7 ;-12 ;5,50 ;18,0 ;0 ;0 ;13 ;0 ;
1325 ;0:00,60 ;834 ;69 ;79;97;0,506 ;22,9 ;19,6 ;22,4 ;19,2 ;0 ;4,61 ;11,7 ;-12 ;5,40 ;17,1 ;0 ;0 ;13 ;0 ;
1325 ;0:00,70 ;1300 ;44 ;79;96;0,505 ;23,1 ;19,8 ;22,7 ;19,4 ;0 ;4,63 ;11,8 ;-12 ;5,67 ;18,2 ;0 ;0 ;14 ;0 ;
1325 ;0:00,80 ;1841 ;33 ;79;93;0,505 ;23,4 ;20,2 ;23,0 ;19,6 ;0 ;4,55 ;11,7 ;-12 ;5,48 ;19,6 ;0 ;0 ;13 ;0 ;
1325 ;0:00,90 ;2299 ;27 ;79;91;0,504 ;23,6 ;20,2 ;23,0 ;20,0 ;0 ;4,59 ;11,7 ;-12 ;5,09 ;19,9 ;0 ;0 ;12 ;0 ;
1325 ;0:01,00 ;2626 ;52 ;79;95;0,503 ;23,7 ;20,6 ;23,3 ;20,2 ;0 ;4,58 ;11,7 ;-11 ;7,05 ;22,6 ;0 ;0 ;17 ;0 ;
1325 ;0:01,10 ;2936 ;62 ;79;96;0,503 ;23,9 ;20,7 ;23,2 ;20,2 ;0 ;4,54 ;11,9 ;-12 ;8,48 ;23,4 ;0 ;0 ;21 ;0 ;
1325 ;0:01,20 ;3393 ;65 ;79;95;0,501 ;24,1 ;20,9 ;23,7 ;20,6 ;0 ;4,60 ;11,9 ;-11 ;9,98 ;23,8 ;0 ;0 ;28 ;0 ;
1325 ;0:01,30 ;3753 ;69 ;79;94;0,501 ;24,5 ;21,1 ;24,1 ;20,7 ;0 ;4,65 ;11,8 ;-12 ;10,29 ;26,9 ;0 ;0 ;32 ;0 ;
1325 ;0:01,40 ;4202 ;66 ;79;94;0,501 ;24,7 ;21,4 ;24,1 ;20,8 ;0 ;4,50 ;11,6 ;-12 ;11,17 ;29,4 ;0 ;0 ;39 ;0 ;
1325 ;0:01,50 ;4305 ;68 ;79;93;0,501 ;25,5 ;22,0 ;24,9 ;21,2 ;0 ;4,48 ;11,6 ;-13 ;10,92 ;29,3 ;0 ;0 ;39 ;0 ;
1325 ;0:01,60 ;4430 ;67 ;79;93;0,501 ;26,2 ;22,8 ;25,4 ;21,7 ;0 ;4,67 ;11,9 ;-13 ;11,21 ;29,0 ;0 ;0 ;41 ;0 ;
1325 ;0:01,70 ;4545 ;68 ;79;93;0,500 ;26,9 ;23,2 ;26,0 ;22,3 ;0 ;4,68 ;11,9 ;-13 ;11,67 ;28,8 ;0 ;0 ;44 ;0 ;
1325 ;0:01,80 ;4679 ;65 ;79;92;0,500 ;27,8 ;23,8 ;26,8 ;23,3 ;0 ;4,55 ;11,8 ;-13 ;11,49 ;28,6 ;0 ;0 ;45 ;0 ;
1325 ;0:01,90 ;4806 ;67 ;80;92;0,500 ;28,6 ;24,7 ;27,7 ;24,0 ;0 ;4,62 ;11,8 ;-12 ;11,99 ;28,3 ;0 ;0 ;48 ;0 ;
1325 ;0:02,00 ;4917 ;62 ;80;91;0,500 ;29,2 ;25,2 ;28,4 ;24,7 ;0 ;4,51 ;11,8 ;-12 ;11,84 ;28,1 ;0 ;0 ;49 ;0 ;
1325 ;0:02,10 ;5097 ;60 ;80;91;0,500 ;29,9 ;25,8 ;29,1 ;25,2 ;0 ;4,63 ;11,8 ;-12 ;12,30 ;28,2 ;0 ;0 ;52 ;0 ;
1325 ;0:02,20 ;5269 ;41 ;80;90;0,500 ;30,4 ;26,5 ;29,6 ;25,9 ;0 ;4,61 ;11,8 ;-11 ;11,84 ;28,9 ;0 ;0 ;52 ;0 ;
1325 ;0:02,30 ;5319 ;60 ;80;86;0,500 ;31,2 ;27,3 ;30,7 ;26,5 ;0 ;4,61 ;11,7 ;-11 ;11,41 ;29,7 ;0 ;0 ;51 ;0 ;
1325 ;0:02,40 ;5439 ;54 ;80;84;0,500 ;32,0 ;28,1 ;31,2 ;27,1 ;0 ;4,61 ;11,7 ;-12 ;9,34 ;30,7 ;0 ;0 ;42 ;0 ;
