SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;TAR LB;VOLTS;SHIF A;
1337 ;0:23,70 ;5723 ;10 ;102;49;0,826 ;1,000 ;11,5 ;0 ;
1337 ;0:23,80 ;5699 ;10 ;102;51;0,840 ;1,000 ;11,4 ;0 ;
1337 ;0:23,90 ;5628 ;10 ;102;52;0,851 ;1,000 ;11,4 ;0 ;
1337 ;0:24,00 ;5550 ;9 ;102;53;0,855 ;1,000 ;11,6 ;0 ;
1337 ;0:24,10 ;5469 ;9 ;102;54;0,858 ;1,000 ;11,4 ;0 ;
1337 ;0:24,20 ;5425 ;10 ;102;55;0,861 ;1,000 ;11,4 ;0 ;
1337 ;0:24,30 ;5386 ;10 ;102;55;0,856 ;1,000 ;11,5 ;0 ;
1337 ;0:24,40 ;5355 ;10 ;102;55;0,844 ;1,000 ;11,4 ;0 ;
1337 ;0:24,50 ;5322 ;10 ;102;55;0,831 ;1,000 ;11,5 ;0 ;
1337 ;0:24,60 ;5308 ;11 ;102;56;0,831 ;1,000 ;11,5 ;0 ;
1337 ;0:24,70 ;5292 ;10 ;102;56;0,843 ;1,000 ;11,4 ;0 ;
1337 ;0:24,80 ;5263 ;10 ;102;56;0,852 ;1,000 ;11,6 ;0 ;
1337 ;0:24,90 ;5266 ;10 ;102;56;0,863 ;1,000 ;11,5 ;0 ;
1337 ;0:25,00 ;5280 ;10 ;102;56;0,887 ;1,000 ;11,6 ;0 ;
1337 ;0:25,10 ;5265 ;10 ;102;57;0,905 ;1,000 ;11,5 ;0 ;
1337 ;0:25,20 ;5224 ;10 ;102;57;0,904 ;1,000 ;11,4 ;0 ;
1337 ;0:25,30 ;5188 ;10 ;102;58;0,895 ;1,000 ;11,4 ;0 ;
1337 ;0:25,40 ;5111 ;10 ;102;58;0,902 ;1,000 ;11,5 ;0 ;
1337 ;0:25,50 ;5103 ;9 ;102;58;0,910 ;1,000 ;11,5 ;0 ;
1337 ;0:25,60 ;5052 ;10 ;102;59;0,903 ;1,000 ;11,5 ;0 ;
1337 ;0:25,70 ;5077 ;9 ;102;59;0,903 ;1,000 ;11,4 ;0 ;
1337 ;0:25,80 ;5052 ;10 ;102;58;0,913 ;1,000 ;11,4 ;0 ;
1337 ;0:25,90 ;5037 ;10 ;102;58;0,925 ;1,000 ;11,5 ;0 ;
1337 ;0:26,00 ;5034 ;10 ;102;59;0,937 ;1,000 ;11,6 ;0 ;
1337 ;0:26,10 ;5013 ;10 ;102;59;0,950 ;1,000 ;11,5 ;0 ;
1337 ;0:26,20 ;4959 ;10 ;102;59;0,966 ;1,000 ;11,3 ;0 ;
1337 ;0:26,30 ;4951 ;11 ;102;59;0,980 ;1,000 ;11,6 ;0 ;
1337 ;0:26,40 ;4931 ;9 ;102;59;0,994 ;1,000 ;11,4 ;0 ;
1337 ;0:26,50 ;4907 ;9 ;102;59;1,009 ;1,000 ;11,7 ;0 ;
1337 ;0:26,60 ;4940 ;10 ;102;59;1,009 ;1,000 ;11,4 ;0 ;
1337 ;0:26,70 ;4890 ;10 ;102;59;1,010 ;1,000 ;11,5 ;0 ;
1337 ;0:26,80 ;4890 ;10 ;102;58;1,014 ;1,000 ;11,6 ;0 ;
1337 ;0:26,90 ;4907 ;9 ;102;59;1,000 ;1,000 ;11,4 ;0 ;
1337 ;0:27,00 ;4905 ;10 ;102;59;0,994 ;1,000 ;11,6 ;0 ;
1337 ;0:27,10 ;4886 ;10 ;102;58;1,020 ;1,000 ;11,6 ;0 ;
1337 ;0:27,20 ;4884 ;10 ;102;58;1,041 ;1,000 ;11,4 ;0 ;
1337 ;0:27,30 ;4841 ;10 ;102;58;1,050 ;1,000 ;11,4 ;0 ;
