SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
1300 ;1:59,50 ;1170 ;86 ;79;97;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,0 ;-1 ;3,39 ;17,9 ;0 ;0 ;
1300 ;1:59,60 ;1390 ;86 ;79;97;1,385 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,1 ;-1 ;3,54 ;19,1 ;0 ;0 ;
1300 ;1:59,70 ;1784 ;86 ;79;97;1,044 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,8 ;-1 ;3,78 ;20,7 ;0 ;0 ;
1300 ;1:59,80 ;2048 ;86 ;79;97;0,936 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;11,9 ;-1 ;3,95 ;21,7 ;0 ;0 ;
1300 ;1:59,90 ;2474 ;85 ;79;97;0,921 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,1 ;-1 ;4,21 ;23,3 ;0 ;0 ;
1300 ;2:00,00 ;2951 ;57 ;79;87;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,2 ;-1 ;2,95 ;21,8 ;0 ;0 ;
1300 ;2:00,10 ;2755 ;16 ;79;61;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;2,22 ;11,5 ;0 ;0 ;
1300 ;2:00,20 ;3054 ;6 ;79;55;0,929 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,1 ;-1 ;2,03 ;15,9 ;0 ;0 ;
1300 ;2:00,30 ;3398 ;6 ;79;50;0,943 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;1,96 ;22,1 ;0 ;0 ;
1300 ;2:00,40 ;3814 ;5 ;79;47;0,922 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;1,93 ;27,2 ;0 ;0 ;
1300 ;2:00,50 ;4058 ;3 ;79;47;0,912 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,8 ;-1 ;1,98 ;29,1 ;0 ;0 ;
1300 ;2:00,60 ;4421 ;0 ;79;49;0,886 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,9 ;-1 ;2,12 ;29,6 ;0 ;0 ;
1300 ;2:00,70 ;4754 ;0 ;79;53;0,868 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,1 ;-1 ;2,29 ;29,9 ;0 ;0 ;
1300 ;2:00,80 ;4707 ;13 ;79;56;0,887 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;12,0 ;-1 ;2,41 ;29,7 ;0 ;0 ;
1300 ;2:00,90 ;4734 ;13 ;79;55;0,904 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,8 ;-1 ;2,37 ;29,8 ;0 ;0 ;
1300 ;2:01,00 ;4784 ;13 ;79;56;0,927 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,9 ;-1 ;2,41 ;29,7 ;0 ;0 ;
1300 ;2:01,10 ;4879 ;13 ;79;55;0,948 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,8 ;-1 ;2,38 ;29,8 ;0 ;0 ;
1300 ;2:01,20 ;4894 ;14 ;78;56;0,975 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,1 ;-1 ;2,42 ;29,8 ;0 ;0 ;
1300 ;2:01,30 ;4913 ;15 ;78;57;0,975 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,1 ;-1 ;2,47 ;29,7 ;0 ;0 ;
1300 ;2:01,40 ;4887 ;15 ;78;57;0,964 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,8 ;-1 ;2,47 ;29,7 ;0 ;0 ;
1300 ;2:01,50 ;4853 ;15 ;78;57;0,959 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;11,9 ;-1 ;2,47 ;29,7 ;0 ;0 ;
1300 ;2:01,60 ;4773 ;15 ;78;56;0,935 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;12,0 ;-1 ;2,41 ;29,7 ;0 ;0 ;
1300 ;2:01,70 ;4643 ;15 ;78;56;0,914 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;11,9 ;-1 ;2,41 ;29,7 ;0 ;0 ;
1300 ;2:01,80 ;4631 ;15 ;78;55;0,906 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,1 ;-1 ;2,36 ;29,8 ;0 ;0 ;
1300 ;2:01,90 ;4618 ;15 ;78;53;0,911 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;12,0 ;-1 ;2,28 ;29,9 ;0 ;0 ;
1300 ;2:02,00 ;4728 ;15 ;78;51;0,893 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,1 ;-1 ;2,24 ;30,0 ;0 ;0 ;
1300 ;2:02,10 ;5006 ;15 ;78;47;0,875 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,1 ;-1 ;2,17 ;30,5 ;0 ;0 ;
1300 ;2:02,20 ;5377 ;15 ;78;41;0,872 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,9 ;-1 ;2,06 ;30,8 ;0 ;0 ;
1300 ;2:02,30 ;5821 ;15 ;78;37;0,873 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,0 ;-1 ;1,94 ;30,1 ;0 ;0 ;
1300 ;2:02,40 ;6137 ;15 ;78;35;0,869 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,0 ;-1 ;1,84 ;29,8 ;0 ;0 ;
1300 ;2:02,50 ;6469 ;15 ;78;34;0,877 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;1,78 ;29,5 ;0 ;0 ;
1300 ;2:02,60 ;6703 ;15 ;78;34;0,875 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;1,78 ;29,5 ;0 ;0 ;
1300 ;2:02,70 ;6949 ;16 ;78;35;0,874 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,8 ;-1 ;1,84 ;29,8 ;0 ;0 ;
1300 ;2:02,80 ;7004 ;18 ;78;38;0,876 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;2,01 ;30,7 ;0 ;0 ;
1300 ;2:02,90 ;6988 ;19 ;78;38;0,862 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,1 ;-1 ;2,01 ;30,7 ;0 ;0 ;
1300 ;2:03,00 ;7017 ;19 ;78;38;0,852 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;2,01 ;30,7 ;0 ;0 ;
1300 ;2:03,10 ;7040 ;19 ;78;38;0,851 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,0 ;-1 ;2,01 ;30,7 ;0 ;0 ;
1300 ;2:03,20 ;7004 ;18 ;78;38;0,861 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;2,01 ;30,7 ;0 ;0 ;
1300 ;2:03,30 ;7009 ;18 ;78;39;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,8 ;-1 ;2,07 ;31,0 ;0 ;0 ;
1300 ;2:03,40 ;6952 ;18 ;78;39;0,906 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;2,07 ;31,0 ;0 ;0 ;
1300 ;2:03,50 ;6934 ;18 ;78;40;0,958 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;2,08 ;31,7 ;0 ;0 ;
1300 ;2:03,60 ;6845 ;18 ;78;41;0,989 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;2,10 ;32,4 ;0 ;0 ;
1300 ;2:03,70 ;6713 ;18 ;77;42;1,003 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,0 ;-1 ;2,11 ;33,1 ;0 ;0 ;
1300 ;2:03,80 ;6613 ;18 ;77;42;1,009 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;11,9 ;-1 ;2,11 ;33,1 ;0 ;0 ;
1300 ;2:03,90 ;6535 ;18 ;77;42;1,009 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,9 ;-1 ;2,11 ;33,0 ;0 ;0 ;
1300 ;2:04,00 ;6481 ;18 ;77;42;1,003 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;2,11 ;33,0 ;0 ;0 ;
1300 ;2:04,10 ;6449 ;18 ;77;42;0,994 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,0 ;-1 ;2,11 ;33,0 ;0 ;0 ;
1300 ;2:04,20 ;6379 ;17 ;77;42;0,993 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,9 ;-1 ;2,11 ;32,9 ;0 ;0 ;
1300 ;2:04,30 ;6371 ;17 ;77;42;0,988 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;11,8 ;-1 ;2,11 ;32,9 ;0 ;0 ;
1300 ;2:04,40 ;6317 ;17 ;77;42;0,983 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,0 ;-1 ;2,11 ;32,9 ;0 ;0 ;
1300 ;2:04,50 ;6291 ;17 ;77;42;0,976 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;2,11 ;32,9 ;0 ;0 ;
1300 ;2:04,60 ;6250 ;17 ;77;42;0,950 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;2,11 ;32,9 ;0 ;0 ;
1300 ;2:04,70 ;6204 ;17 ;77;42;0,915 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;2,11 ;32,9 ;0 ;0 ;
1300 ;2:04,80 ;6153 ;16 ;77;42;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;2,10 ;32,9 ;0 ;0 ;
1300 ;2:04,90 ;6054 ;16 ;77;43;0,862 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,9 ;-1 ;2,12 ;33,5 ;0 ;0 ;
1300 ;2:05,00 ;5975 ;16 ;77;43;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,9 ;-1 ;2,11 ;33,3 ;0 ;0 ;
1300 ;2:05,10 ;5912 ;16 ;77;43;0,854 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;2,11 ;33,2 ;0 ;0 ;
1300 ;2:05,20 ;5892 ;16 ;77;42;0,848 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;2,10 ;32,5 ;0 ;0 ;
1300 ;2:05,30 ;5942 ;16 ;77;41;0,851 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;11,9 ;-1 ;2,08 ;32,0 ;0 ;0 ;
1300 ;2:05,40 ;6056 ;16 ;77;39;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;11,9 ;-1 ;2,07 ;31,0 ;0 ;0 ;
1300 ;2:05,50 ;6196 ;16 ;77;37;0,926 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;12,0 ;-1 ;1,95 ;30,4 ;0 ;0 ;
1300 ;2:05,60 ;6434 ;15 ;77;34;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,0 ;-1 ;1,78 ;29,5 ;0 ;0 ;
1300 ;2:05,70 ;6803 ;15 ;77;33;1,019 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;1,73 ;29,2 ;0 ;0 ;
1300 ;2:05,80 ;7637 ;13 ;77;30;1,489 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;1,65 ;28,3 ;0 ;0 ;
1300 ;2:05,90 ;8033 ;14 ;77;39;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,9 ;-1 ;2,09 ;31,0 ;0 ;0 ;
1300 ;2:06,00 ;7352 ;31 ;77;65;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;3,21 ;42,2 ;0 ;0 ;
1300 ;2:06,10 ;7542 ;45 ;77;66;1,086 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,8 ;-1 ;3,31 ;42,7 ;0 ;0 ;
1300 ;2:06,20 ;7716 ;41 ;77;61;1,074 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;3,02 ;44,2 ;0 ;0 ;
1300 ;2:06,30 ;7918 ;35 ;77;48;0,973 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;2,27 ;37,2 ;0 ;0 ;
