SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;
1755 ;2:12,60 ;4740 ;18 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,50 ;11,7 ;-1 ;3,42 ;29,0 ;0 ;
1755 ;2:12,70 ;4767 ;18 ;81;23;65;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;11,9 ;-1 ;3,37 ;29,1 ;0 ;
1755 ;2:12,80 ;4775 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;3,50 ;29,0 ;0 ;
1755 ;2:12,90 ;4770 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;11,9 ;-1 ;3,52 ;29,0 ;0 ;
1755 ;2:13,00 ;4764 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;11,9 ;-1 ;3,54 ;29,0 ;0 ;
1755 ;2:13,10 ;4778 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,9 ;-1 ;3,56 ;29,0 ;0 ;
1755 ;2:13,20 ;4722 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;11,9 ;-1 ;3,55 ;29,0 ;0 ;
1755 ;2:13,30 ;4642 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,7 ;-1 ;3,56 ;29,2 ;0 ;
1755 ;2:13,40 ;4555 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;11,9 ;-1 ;3,56 ;29,2 ;0 ;
1755 ;2:13,50 ;4500 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,9 ;-1 ;3,56 ;29,2 ;0 ;
1755 ;2:13,60 ;4478 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,9 ;-1 ;3,56 ;29,3 ;0 ;
1755 ;2:13,70 ;4460 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;3,55 ;29,3 ;0 ;
1755 ;2:13,80 ;4436 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,8 ;-1 ;3,55 ;29,3 ;0 ;
1755 ;2:13,90 ;4327 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;11,9 ;-1 ;3,52 ;29,3 ;0 ;
1755 ;2:14,00 ;4385 ;19 ;81;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,8 ;-1 ;3,53 ;29,2 ;0 ;
1755 ;2:14,10 ;4402 ;19 ;82;23;67;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;3,62 ;29,3 ;0 ;
1755 ;2:14,20 ;4464 ;19 ;82;23;67;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;11,9 ;-1 ;3,68 ;29,3 ;0 ;
1755 ;2:14,30 ;4557 ;19 ;82;23;67;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;11,9 ;-1 ;3,71 ;29,2 ;0 ;
1755 ;2:14,40 ;4544 ;19 ;82;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,9 ;-1 ;3,67 ;29,2 ;0 ;
1755 ;2:14,50 ;4615 ;19 ;82;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;11,8 ;-1 ;3,69 ;29,2 ;0 ;
1755 ;2:14,60 ;4647 ;19 ;82;23;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,7 ;-1 ;3,69 ;29,1 ;0 ;
1755 ;2:14,70 ;4671 ;19 ;82;24;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;11,9 ;-1 ;3,71 ;29,1 ;0 ;
1755 ;2:14,80 ;4701 ;19 ;82;24;67;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;11,7 ;-1 ;3,80 ;29,0 ;0 ;
1755 ;2:14,90 ;4750 ;19 ;82;24;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,8 ;-1 ;3,72 ;29,0 ;0 ;
1755 ;2:15,00 ;4780 ;20 ;82;24;66;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,9 ;-1 ;3,72 ;29,0 ;0 ;
