SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;
1863 ;0:03,30 ;4743 ;14 ;77;19;62;0,974 ;5,0 ;5,0 ;5,0 ;5,1 ;0 ;4,55 ;12,4 ;0 ;2,81 ;29,2 ;0 ;
1863 ;0:03,40 ;4718 ;14 ;77;19;63;0,964 ;5,2 ;5,2 ;5,2 ;5,1 ;0 ;4,60 ;12,4 ;-1 ;2,89 ;29,1 ;0 ;
1863 ;0:03,50 ;4661 ;14 ;77;19;62;0,942 ;5,4 ;5,4 ;5,4 ;5,5 ;0 ;4,63 ;12,3 ;0 ;2,81 ;28,9 ;0 ;
1863 ;0:03,60 ;4589 ;14 ;77;19;62;0,954 ;5,7 ;5,7 ;5,8 ;5,9 ;0 ;4,63 ;12,4 ;1 ;2,80 ;28,6 ;0 ;
1863 ;0:03,70 ;4588 ;14 ;77;18;61;1,065 ;6,4 ;6,3 ;6,2 ;6,2 ;0 ;4,56 ;12,4 ;-3 ;2,74 ;28,6 ;0 ;
1863 ;0:03,80 ;4633 ;14 ;77;18;59;1,043 ;6,7 ;6,7 ;6,6 ;6,6 ;0 ;4,60 ;12,2 ;-1 ;2,65 ;28,7 ;0 ;
1863 ;0:03,90 ;4832 ;14 ;77;18;55;0,894 ;7,2 ;7,2 ;7,0 ;7,1 ;0 ;4,56 ;12,3 ;-2 ;2,48 ;29,4 ;0 ;
1863 ;0:04,00 ;5176 ;14 ;77;18;50;0,833 ;7,5 ;7,6 ;7,5 ;7,5 ;0 ;4,61 ;12,2 ;-1 ;2,80 ;31,2 ;0 ;
1863 ;0:04,10 ;5634 ;14 ;77;18;44;0,831 ;8,0 ;8,1 ;7,9 ;8,0 ;0 ;4,53 ;12,3 ;-2 ;2,20 ;32,3 ;0 ;
1863 ;0:04,20 ;6129 ;14 ;77;18;43;0,825 ;8,4 ;8,5 ;8,4 ;8,4 ;0 ;4,60 ;12,3 ;-1 ;2,20 ;33,5 ;0 ;
1863 ;0:04,30 ;6143 ;14 ;77;18;43;0,825 ;9,0 ;9,0 ;9,1 ;9,0 ;0 ;4,60 ;12,3 ;0 ;2,20 ;33,5 ;0 ;
