																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	3850	18,22	18,78	19,21	35,05	24,32	44,37	50,72	4,226	980,1	1983		43,35	0,5593	0,5593	0	34,25	1,023	8,584	0	25,62
	3900	18,43	19	19,44	35	24,61	44,32	51,38	4,321	978,9	1977		43,31	0,5705	0,5705	0	34,21	1,023	8,584	0	25,62
	3950	18,59	19,17	19,62	34,89	24,86	44,2	52,04	4,413	975,6	1971		43,19	0,5819	0,5819	0	34,1	1,023	8,584	0	25,62
	4000	18,75	19,34	19,79	34,76	25,1	44,07	52,7	4,505	972	1966		43,07	0,5934	0,5934	0	33,97	1,023	8,584	0	25,62
	4050	18,63	19,23	19,68	34,14	25,05	43,46	53,36	4,599	954,7	1929		42,46	0,6051	0,6051	0	33,37	1,023	8,584	0	25,62
	4100	18,37	18,99	19,43	33,29	24,87	42,61	54,02	4,694	931,1	1877		41,64	0,6169	0,6169	0	32,54	1,023	8,584	0	25,62
	4150	17,63	18,26	18,68	31,63	24,19	40,95	54,68	4,801	884,7	1776		40,02	0,6289	0,6289	0	30,92	1,023	8,584	0	25,62
	4200	16,52	17,16	17,56	29,37	23,13	38,68	55,34	4,918	821,2	1640		37,8	0,6409	0,6409	0	28,7	1,023	8,584	0	25,62
	4250	14,79	15,44	15,8	26,12	21,43	35,44	55,99	5,055	730,6	1443		34,63	0,6531	0,6531	0	25,53	1,023	8,584	0	25,62
	4300	12,98	13,64	13,96	22,81	19,66	32,12	56,65	5,214	637,8	1241		31,39	0,6655	0,6655	0	22,29	1,023	8,584	0	25,62
