															
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	 	 	 	%
	4000	15,85	16,45	16,94	29,52	22,28	39,12	53,12	0	814	1634			0	
	4050	13,08	13,7	14,1	24,42	19,51	33,86	53,78	0,2067	673,2	1331			0	
	4100	10,32	10,94	11,26	19,31	16,74	28,68	54,45	0,4135	532,4	1028			0	
	4150	7,208	7,845	8,078	13,67	13,62	23,05	55,11	0,6884	377	698,9			0	
	4200	6,455	7,104	7,315	12,23	12,92	21,61	55,78	0,9721	337,2	616,1			0	
	4250	7,192	7,853	8,086	13,36	13,76	22,73	56,44	1,242	368,4	679,1			0	
	4300	7,681	8,355	8,602	14,05	14,34	23,42	57,1	1,478	387,4	724,4			0	
	4350	7,185	7,872	8,105	13,09	13,91	22,46	57,77	1,767	360,8	660,5			0	
	4400	6,833	7,532	7,756	12,38	13,63	21,75	58,43	2,073	341,3	621,8			0	
	4450	7,09	7,803	8,034	12,68	13,97	22,05	59,1	2,355	349,6	639,1			0	
	4500	7,806	8,531	8,784	13,71	14,79	23,08	59,76	2,626	377,9	698,8			0	
	4550	8,296	9,035	9,303	14,36	15,38	23,73	60,42	2,865	395,9	743,8			0	
	4600	8,171	8,924	9,188	14,03	15,33	23,4	61,09	3,122	386,8	723,3			0	
	4650	7,62	8,386	8,634	13,04	14,84	22,42	61,75	3,41	359,6	654,8			0	
	4700	7,91	8,689	8,946	13,37	15,22	22,74	62,42	3,693	368,6	675,9			0	
	4750	8,176	8,97	9,235	13,66	15,57	23,03	63,08	3,939	376,5	698,3			0	
	4800	9,069	9,876	10,17	14,88	16,58	24,25	63,74	4,203	410,1	769,6			0	
	4850	10,35	11,17	11,5	16,65	17,98	26,03	64,41	4,403	459,2	875,3			0	
	4900	11,49	12,32	12,69	18,18	19,23	27,56	65,07	4,592	501,3	962,7			0	
	4950	12,42	13,27	13,67	19,39	20,27	28,76	65,74	4,773	534,6	1032			0	
	5000	13,02	13,89	14,3	20,09	20,97	29,46	66,4	4,939	553,8	1074			0	
	5050	13,07	13,95	14,37	19,98	21,11	29,35	67,06	5,11	550,9	1068			0	
	5100	12,93	13,83	14,24	19,61	21,04	28,98	67,73	5,299	540,6	1040			0	
	5150	12,7	13,61	14,02	19,12	20,89	28,49	68,39	5,474	527,1	1012			0	
	5200	13,07	14	14,41	19,47	21,35	28,84	69,06	5,67	536,8	1037			0	
	5250	15,12	16,07	16,54	22,12	23,55	31,49	69,72	5,824	609,8	1194			0	
	5300	17,6	18,55	19,1	25,29	26,17	34,66	70,38	5,95	697,3	1380			0	
	5350	20,22	21,19	21,82	28,63	28,96	38	71,05	6,055	789,3	1576			0	
	5400	22,43	23,42	24,11	31,34	31,32	40,72	71,71	6,151	864,2	1736			0	
	5450	24,35	25,36	26,11	33,62	33,38	43	72,38	6,24	927	1871			0	
	5500	25,97	26,99	27,79	35,48	35,13	44,86	73,04	6,33	978,3	1982			0	
	5550	27,05	28,08	28,92	36,58	36,32	45,95	73,7	6,418	1009	2048			0	
	5600	28,06	29,12	29,98	37,6	37,45	46,97	74,37	6,506	1037	2110			0	
	5650	28,5	29,57	30,44	37,84	37,98	47,21	75,03	6,593	1043	2124			0	
	5700	28,93	30,02	30,91	38,08	38,52	47,46	75,7	6,679	1050	2137			0	
	5750	29,19	30,3	31,2	38,11	38,87	47,48	76,36	6,768	1051	2135			0	
	5800	29,41	30,53	31,44	38,07	39,18	47,44	77,02	6,858	1050	2129			0	
	5850	29,81	30,95	31,86	38,25	39,67	47,62	77,69	6,946	1055	2138			0	
	5900	30,35	31,51	32,44	38,61	40,31	47,99	78,35	7,032	1065	2160			0	
	5950	30,97	32,15	33,1	39,07	41,04	48,44	79,02	7,117	1077	2187			0	
	6000	31,85	33,05	34,03	39,82	42,03	49,19	79,68	7,196	1098	2233			0	
	6050	32,74	33,95	34,95	40,57	43,03	49,95	80,34	7,275	1119	2278			0	
	6100	33,56	34,79	35,82	41,24	43,96	50,61	81,01	7,352	1137	2316			0	
	6150	34,36	35,61	36,67	41,87	44,88	51,24	81,67	7,428	1154	2351			0	
	6200	35,14	36,4	37,48	42,46	45,76	51,83	82,34	7,503	1171	2384			0	
	6250	35,53	36,81	37,9	42,59	46,24	51,97	83	7,58	1174	2391			0	
	6300	35,92	37,22	38,32	42,72	46,73	52,1	83,66	7,657	1178	2399			0	
	6350	36,08	37,4	38,51	42,6	46,99	51,97	84,33	7,734	1175	2392			0	
	6400	35,98	37,33	38,43	42,18	46,97	51,56	84,99	7,813	1163	2369			0	
	6450	35,89	37,25	38,35	41,76	46,96	51,14	85,66	7,891	1152	2345			0	
	6500	35,44	36,82	37,91	40,98	46,59	50,35	86,32	7,975	1130	2297			0	
	6550	34,96	36,36	37,44	40,15	46,18	49,53	86,98	8,059	1107	2247			0	
	6600	34,47	35,89	36,95	39,33	45,76	48,71	87,65	8,146	1084	2198			0	
	6650	33,96	35,41	36,46	38,51	45,33	47,88	88,31	8,235	1062	2148			0	
	6700	33,51	34,97	36,01	37,75	44,95	47,12	88,98	8,324	1041	2102			0	
	6750	33,16	34,65	35,68	37,13	44,68	46,5	89,64	8,414	1024	2064			0	
	6800	32,83	34,34	35,36	36,52	44,43	45,89	90,3	8,504	1007	2026			0	
	6850	32,68	34,21	35,22	36,12	44,36	45,49	90,97	8,599	995,8	1999			0	
	6900	32,52	34,07	35,08	35,71	44,29	45,08	91,63	8,694	984,6	1972			0	
	6950	32,79	34,36	35,38	35,75	44,65	45,12	92,3	8,787	985,7	1975			0	
	7000	33,07	34,67	35,69	35,81	45,04	45,19	92,96	8,881	987,4	1979			0	
	7050	33,54	35,16	36,2	36,06	45,61	45,43	93,62	8,971	994,2	1994			0	
	7100	34,05	35,68	36,74	36,34	46,22	45,72	94,29	9,06	1002	2011			0	
	7150	34,56	36,22	37,29	36,63	46,83	46	94,95	9,15	1010	2028			0	
	7200	35,08	36,76	37,85	36,92	47,46	46,29	95,62	9,241	1018	2043			0	
	7250	35,63	37,33	38,44	37,23	48,11	46,61	96,28	9,33	1027	2062			0	
	7300	36,23	37,96	39,08	37,6	48,83	46,97	96,94	9,418	1037	2084			0	
	7350	36,85	38,6	39,75	37,98	49,55	47,35	97,61	9,506	1047	2106			0	
	7400	37,61	39,38	40,55	38,48	50,43	47,86	98,27	9,591	1061	2137			0	
	7450	38,37	40,17	41,36	38,99	51,3	48,36	98,94	9,676	1075	2167			0	
	7500	39,28	41,1	42,32	39,62	52,33	49	99,6	9,758	1093	2205			0	
	7550	40,24	42,09	43,33	40,31	53,41	49,68	100,3	9,839	1111	2245			0	
	7600	41,24	43,11	44,38	41,01	54,53	50,39	100,9	9,919	1131	2287			0	
	7650	42,31	44,21	45,52	41,78	55,73	51,15	101,6	9,996	1152	2331			0	
	7700	43,39	45,31	46,65	42,55	56,93	51,92	102,3	10,07	1173	2374			0	
