															
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	 	 	 	%
	7250	35,71	37,42	38,53	37,32	48,48	46,97	96,28	8,885	1029	2072			0	
	7300	36,5	38,23	39,36	37,87	49,39	47,51	96,94	8,971	1044	2101			0	
	7350	37,3	39,05	40,21	38,42	50,3	48,06	97,61	9,058	1059	2131			0	
	7400	38,19	39,96	41,15	39,05	51,31	48,69	98,27	9,142	1077	2166			0	
	7450	39,13	40,93	42,14	39,72	52,37	49,37	98,94	9,224	1095	2206			0	
	7500	40,08	41,9	43,15	40,4	53,45	50,05	99,6	9,306	1114	2246			0	
	7550	41,08	42,92	44,2	41,11	54,57	50,75	100,3	9,384	1133	2287			0	
	7600	42,08	43,95	45,25	41,81	55,69	51,46	100,9	9,462	1153	2329			0	
	7650	43,08	44,98	46,31	42,51	56,82	52,16	101,6	9,539	1172	2369			0	
	7700	44,09	46,01	47,38	43,21	57,95	52,85	102,3	9,614	1191	2409			0	
	7750	45,1	47,04	48,44	43,9	59,08	53,54	102,9	9,689	1210	2449			0	
	7800	46,07	48,04	49,46	44,53	60,17	54,18	103,6	9,762	1228	2486			0	
	7850	47,03	49,03	50,48	45,16	61,26	54,81	104,2	9,834	1245	2522			0	
	7900	47,97	49,99	51,48	45,76	62,33	55,41	104,9	9,905	1262	2556			0	
	7950	48,82	50,86	52,37	46,26	63,29	55,91	105,6	9,975	1275	2583			0	
	8000	49,66	51,73	53,27	46,76	64,25	56,41	106,2	10,05	1289	2611			0	
	8050	50,49	52,59	54,15	47,24	65,2	56,89	106,9	10,11	1302	2638			0	
	8100	51,3	53,42	55,01	47,69	66,13	57,34	107,6	10,18	1315	2664			0	
	8150	52,11	54,26	55,87	48,14	67,06	57,79	108,2	10,25	1327	2691			0	
	8200	52,86	55,04	56,67	48,54	67,93	58,19	108,9	10,32	1338	2715			0	
