"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
72083,0,,,,,,,,-0.28,-0.05,0.52,-0,-67,4,0.28,0,,,,,,,,,,,,,,,,,
72123,0,,,,,,,,-0.6,-0.0,0.8,-0,-63,2,0.6,0,,,,,,,,,,,,,,,,,
72163,0,,,,,,,,-0.87,0.02,1.03,-0,-36,0,0.87,0,,,,,,,,,,,,,,,,,
72203,0,,,,,,,,-1.04,0.02,1.21,-1,-4,-2,1.04,0,,,,,,,,,,,,,,,,,
72243,0,5,8,46,50,34,38,18,-1.2,0.03,1.36,-0,15,-6,1.2,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,1.2041
72283,0,,,,,,,,-1.31,0.07,1.48,-0,33,-9,1.32,0,,,,,,,,,,,,,,,,,
72323,0,,,,,,,,-1.11,0.06,1.58,-0,58,-11,1.11,0,,,,,,,,,,,,,,,,,
72363,0,,,,,,,,-0.59,0.02,1.16,0,89,-12,0.59,0,,,,,,,,,,,,,,,,,
72403,0,,,,,,,,-0.14,-0.05,0.56,0,84,-9,0.15,0,,,,,,,,,,,,,,,,,
72443,0,8,6,46,50,34,38,18,-0.17,-0.03,0.77,0,53,-7,0.17,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,1.2074
72483,0,,,,,,,,-0.19,-0.03,0.93,0,48,-6,0.19,0,,,,,,,,,,,,,,,,,
72523,0,,,,,,,,-0.05,-0.06,0.49,0,40,-5,0.08,0,,,,,,,,,,,,,,,,,
72563,0,,,,,,,,-0.21,-0.03,0.77,0,26,-5,0.21,0,,,,,,,,,,,,,,,,,
72603,0,,,,,,,,-0.04,-0.07,0.39,0,31,-4,0.08,0,,,,,,,,,,,,,,,,,
72643,0,6,8,46,50,34,38,18,-0.18,-0.07,0.7,0,11,-3,0.19,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,1.2107
