"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
50083,0,,,,,,,,0.07,-0.05,-0.1,1,6,2,0.09,0,,,,,,,,,,,,,,,,,
50123,0,,,,,,,,-0.27,-0.13,-0.46,1,-23,13,0.3,0,,,,,,,,,,,,,,,,,
50163,0,,,,,,,,-0.48,-0.22,-0.7,1,-28,13,0.53,0,,,,,,,,,,,,,,,,,
50203,0,,,,,,,,-0.39,-0.14,-0.52,1,-22,10,0.41,0,,,,,,,,,,,,,,,,,
50243,0,0,1,48,51,33,38,-4,-0.33,-0.12,-0.26,1,-18,8,0.35,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8374
50283,0,,,,,,,,-0.09,-0.1,0.08,0,-10,5,0.14,0,,,,,,,,,,,,,,,,,
50323,0,,,,,,,,-0.31,-0.08,0.28,0,-15,6,0.32,0,,,,,,,,,,,,,,,,,
50363,0,,,,,,,,0.09,-0.03,0.38,0,-5,3,0.1,0,,,,,,,,,,,,,,,,,
50403,0,,,,,,,,-0.1,-0.09,0.39,0,6,2,0.13,0,,,,,,,,,,,,,,,,,
50443,0,-1,2,48,51,33,38,-5,-0.41,0.0,0.62,1,-20,6,0.41,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.8407
50483,0,,,,,,,,-0.02,0.08,0.26,1,-17,5,0.08,0,,,,,,,,,,,,,,,,,
50523,0,,,,,,,,0.02,0.02,0.06,1,2,3,0.02,0,,,,,,,,,,,,,,,,,
50563,0,,,,,,,,-0.18,0.03,0.14,1,-14,6,0.18,0,,,,,,,,,,,,,,,,,
50603,0,,,,,,,,0.11,0.05,0.18,1,-2,3,0.12,0,,,,,,,,,,,,,,,,,
50643,0,0,2,48,51,33,38,-5,-0.11,0.05,0.39,1,-9,3,0.12,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.844
50683,0,,,,,,,,0.02,0.05,0.49,1,-3,1,0.06,0,,,,,,,,,,,,,,,,,
50723,0,,,,,,,,0.09,0.04,0.75,1,-2,-0,0.1,0,,,,,,,,,,,,,,,,,
50763,0,,,,,,,,0.13,-0.0,0.81,1,-1,0,0.13,0,,,,,,,,,,,,,,,,,
50803,0,,,,,,,,0.0,0.01,0.7,1,-1,0,0.01,0,,,,,,,,,,,,,,,,,
