"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
17083,0,,,,,,,,-0.78,0.05,1.39,1,-64,6,0.78,0,,,,,,,,,,,,,,,,,
17123,0,,,,,,,,-0.25,0.0,0.75,1,-53,7,0.25,0,,,,,,,,,,,,,,,,,
17163,0,,,,,,,,0.18,-0.06,0.22,1,-27,5,0.19,0,,,,,,,,,,,,,,,,,
17203,0,,,,,,,,0.52,-0.09,-0.2,1,2,1,0.53,0,,,,,,,,,,,,,,,,,
17243,0,0,3,48,50,33,37,10,0.79,-0.1,-0.28,1,32,-2,0.8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.2874
17283,0,,,,,,,,0.48,-0.14,0.03,1,56,-5,0.5,0,,,,,,,,,,,,,,,,,
17323,0,,,,,,,,0.02,-0.16,0.4,1,57,-7,0.16,0,,,,,,,,,,,,,,,,,
17363,0,,,,,,,,-0.36,-0.14,0.7,1,34,-5,0.39,0,,,,,,,,,,,,,,,,,
17403,0,,,,,,,,-0.67,-0.07,0.95,1,11,-4,0.68,0,,,,,,,,,,,,,,,,,
17443,0,1,0,48,50,33,36,11,-0.92,0.01,1.15,0,-4,-4,0.92,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.2907
